At t-value = 2.5509, p value = 0.0046
At t-value = 2.4541, p value = 0.00504
At t-value = 2.3698, p value = 0.00516
At t-value = 2.3367, p value = 0.00516
At t-value = 2.3304, p value = 0.00572
At t-value = 2.3261, p value = 0.00572
At t-value = 2.3246, p value = 0.00572
At t-value = 2.3109, p value = 0.00572
At t-value = 2.2947, p value = 0.00572
At t-value = 2.283, p value = 0.00572
At t-value = 2.2724, p value = 0.00572
At t-value = 2.2617, p value = 0.00572
At t-value = 2.2443, p value = 0.0064
At t-value = 2.2217, p value = 0.0064
At t-value = 2.1979, p value = 0.007
At t-value = 2.1859, p value = 0.007
At t-value = 2.1859, p value = 0.007
At t-value = 2.1854, p value = 0.00704
At t-value = 2.1787, p value = 0.00984
At t-value = 2.0811, p value = 0.0102
At t-value = 2.0234, p value = 0.01012
At t-value = 1.9798, p value = 0.01068
At t-value = 1.8949, p value = 0.01112
At t-value = 1.8865, p value = 0.01128
At t-value = 1.8241, p value = 0.01212
At t-value = 1.7648, p value = 0.01212
At t-value = 1.7581, p value = 0.013
At t-value = 1.6936, p value = 0.01372
At t-value = 1.6721, p value = 0.01372
At t-value = 1.6695, p value = 0.01372
At t-value = 1.666, p value = 0.01372
At t-value = 1.6656, p value = 0.015
At t-value = 1.6644, p value = 0.015
At t-value = 1.6639, p value = 0.01536
At t-value = 1.6528, p value = 0.01604
At t-value = 1.6517, p value = 0.01604
At t-value = 1.6503, p value = 0.01604
At t-value = 1.6329, p value = 0.01604
At t-value = 1.6253, p value = 0.0168
At t-value = 1.6189, p value = 0.0168
At t-value = 1.5959, p value = 0.0168
At t-value = 1.5915, p value = 0.01732
At t-value = 1.5896, p value = 0.0182
At t-value = 1.583, p value = 0.0182
At t-value = 1.5542, p value = 0.01912
At t-value = 1.5478, p value = 0.01912
At t-value = 1.5474, p value = 0.01912
At t-value = 1.5368, p value = 0.01972
At t-value = 1.5228, p value = 0.02064
At t-value = 1.5198, the 1th p value = 0.02064
At t-value = 1.5198, the 2th p value = 0.10784
At t-value = 1.5174, the 1th p value = 0.02064
At t-value = 1.5174, the 2th p value = 0.10972
At t-value = 1.5174, the 1th p value = 0.02064
At t-value = 1.5174, the 2th p value = 0.10972
At t-value = 1.514, the 1th p value = 0.02064
At t-value = 1.514, the 2th p value = 0.111
At t-value = 1.5075, the 1th p value = 0.02064
At t-value = 1.5075, the 2th p value = 0.111
At t-value = 1.5067, p value = 0.02832
At t-value = 1.5012, p value = 0.02832
At t-value = 1.499, p value = 0.02884
At t-value = 1.4939, p value = 0.02884
At t-value = 1.4848, p value = 0.02884
At t-value = 1.4747, p value = 0.02924
At t-value = 1.4708, p value = 0.03012
At t-value = 1.4546, p value = 0.03012
At t-value = 1.4419, p value = 0.0308
At t-value = 1.4417, p value = 0.0308
At t-value = 1.4339, p value = 0.03692
At t-value = 1.4011, p value = 0.03732
At t-value = 1.3781, p value = 0.03796
At t-value = 1.252, p value = 0.03888
At t-value = 1.1748, p value = 0.03952
At t-value = 1.1142, p value = 0.0402
At t-value = 1.0538, p value = 0.04112
At t-value = 1.0357, p value = 0.04248
At t-value = 0.97941, p value = 0.04356
At t-value = 0.95212, p value = 0.04456
At t-value = 0.9327, p value = 0.04588
At t-value = 0.83813, p value = 0.04688
At t-value = 0.74478, p value = 0.04832
At t-value = 0.67436, p value = 0.05004
At t-value = 0.62126, p value = 0.05004
At t-value = 0.55848, p value = 0.05216
At t-value = 0.55559, p value = 0.05364
At t-value = 0.50215, p value = 0.05364
At t-value = 0.50145, p value = 0.05364
At t-value = 0.4882, p value = 0.05524
At t-value = 0.4846, p value = 0.05524
At t-value = 0.47865, p value = 0.05524
At t-value = 0.46567, p value = 0.06584
At t-value = 0.44351, p value = 0.06816
At t-value = 0.41381, p value = 0.06816
At t-value = 0.41134, p value = 0.07012
At t-value = 0.40099, p value = 0.07648
