Comparison,t,z
ContinuousUnfamiliar-ContinuousFamiliar,0.413813587493409,0.5
ContinuousUnfamiliar-ContinuousFamiliar,0.400987951665228,0.555
ContinuousUnfamiliar-ContinuousFamiliar,0.443506035799977,0.61
ContinuousUnfamiliar-ContinuousFamiliar,0.555587180796423,0.665
ContinuousUnfamiliar-ContinuousFamiliar,0.744783444667157,0.72
ContinuousUnfamiliar-ContinuousFamiliar,0.952115277235078,0.775
ContinuousUnfamiliar-ContinuousFamiliar,1.11418253028475,0.83
ContinuousUnfamiliar-ContinuousFamiliar,1.2519897276818,0.885
ContinuousUnfamiliar-ContinuousFamiliar,1.37806036220771,0.94
ContinuousUnfamiliar-ContinuousFamiliar,1.47469738208127,0.995
ContinuousUnfamiliar-ContinuousFamiliar,1.53678063409239,1.05
ContinuousUnfamiliar-ContinuousFamiliar,1.59147484933734,1.105
ContinuousUnfamiliar-ContinuousFamiliar,1.66391090049857,1.16
ContinuousUnfamiliar-ContinuousFamiliar,1.76483077339907,1.215
ContinuousUnfamiliar-ContinuousFamiliar,1.8864972842018,1.27
ContinuousUnfamiliar-ContinuousFamiliar,2.02338745235947,1.325
ContinuousUnfamiliar-ContinuousFamiliar,2.18543798236828,1.38
ContinuousUnfamiliar-ContinuousFamiliar,2.36982194118328,1.435
ContinuousUnfamiliar-ContinuousFamiliar,2.55093375052903,1.49
ContinuousUnfamiliar-ContinuousFamiliar,2.66662237749607,1.545
ContinuousUnfamiliar-ContinuousFamiliar,2.6909432690464,1.6
ContinuousUnfamiliar-ContinuousFamiliar,2.69211841214928,1.655
ContinuousUnfamiliar-ContinuousFamiliar,2.7152569890074,1.71
ContinuousUnfamiliar-ContinuousFamiliar,2.73357072855627,1.765
ContinuousUnfamiliar-ContinuousFamiliar,2.73176923133832,1.82
ContinuousUnfamiliar-ContinuousFamiliar,2.71967815808488,1.875
ContinuousUnfamiliar-ContinuousFamiliar,2.67371945584731,1.93
ContinuousUnfamiliar-ContinuousFamiliar,2.58005260723356,1.985
ContinuousUnfamiliar-ContinuousFamiliar,2.45410110663575,2.04
ContinuousUnfamiliar-ContinuousFamiliar,2.33043433625329,2.095
ContinuousUnfamiliar-ContinuousFamiliar,2.24426778950633,2.15
ContinuousUnfamiliar-ContinuousFamiliar,2.19787386923901,2.205
ContinuousUnfamiliar-ContinuousFamiliar,2.1786995928539,2.26
ContinuousUnfamiliar-ContinuousFamiliar,2.18590337854326,2.315
ContinuousUnfamiliar-ContinuousFamiliar,2.22168224247317,2.37
ContinuousUnfamiliar-ContinuousFamiliar,2.26173178737431,2.425
ContinuousUnfamiliar-ContinuousFamiliar,2.28300825667105,2.48
ContinuousUnfamiliar-ContinuousFamiliar,2.29471268821574,2.535
ContinuousUnfamiliar-ContinuousFamiliar,2.31086398425951,2.59
ContinuousUnfamiliar-ContinuousFamiliar,2.32607152144365,2.645
ContinuousUnfamiliar-ContinuousFamiliar,2.3366986979031,2.7
ContinuousUnfamiliar-ContinuousFamiliar,2.3246489493703,2.755
ContinuousUnfamiliar-ContinuousFamiliar,2.27242176717439,2.81
ContinuousUnfamiliar-ContinuousFamiliar,2.18585740633899,2.865
ContinuousUnfamiliar-ContinuousFamiliar,2.08109033170107,2.92
ContinuousUnfamiliar-ContinuousFamiliar,1.97975786826982,2.975
ContinuousUnfamiliar-ContinuousFamiliar,1.89485504697914,3.03
ContinuousUnfamiliar-ContinuousFamiliar,1.82411948385757,3.085
ContinuousUnfamiliar-ContinuousFamiliar,1.75808577981249,3.14
ContinuousUnfamiliar-ContinuousFamiliar,1.69356138048355,3.195
ContinuousUnfamiliar-ContinuousFamiliar,1.66557411998497,3.25
ContinuousUnfamiliar-ContinuousFamiliar,1.66595484542284,3.305
ContinuousUnfamiliar-ContinuousFamiliar,1.65276306072574,3.36
ContinuousUnfamiliar-ContinuousFamiliar,1.62527571399223,3.415
ContinuousUnfamiliar-ContinuousFamiliar,1.58961040427737,3.47
