Comparison,t,z
FamiliarIntermittent-FamiliarContinuous,0.72557694138979,0.5
FamiliarIntermittent-FamiliarContinuous,0.799007855208588,0.555
FamiliarIntermittent-FamiliarContinuous,0.87338366362344,0.61
FamiliarIntermittent-FamiliarContinuous,0.978990493172872,0.665
FamiliarIntermittent-FamiliarContinuous,1.13475556861973,0.72
FamiliarIntermittent-FamiliarContinuous,1.30830941383881,0.775
FamiliarIntermittent-FamiliarContinuous,1.45074449574758,0.83
FamiliarIntermittent-FamiliarContinuous,1.5431829259556,0.885
FamiliarIntermittent-FamiliarContinuous,1.58172679754015,0.94
FamiliarIntermittent-FamiliarContinuous,1.57271227491919,0.995
FamiliarIntermittent-FamiliarContinuous,1.53461972070161,1.05
FamiliarIntermittent-FamiliarContinuous,1.49427558869975,1.105
FamiliarIntermittent-FamiliarContinuous,1.47445950446273,1.16
FamiliarIntermittent-FamiliarContinuous,1.47934238125298,1.215
FamiliarIntermittent-FamiliarContinuous,1.49281126097424,1.27
FamiliarIntermittent-FamiliarContinuous,1.50229338462984,1.325
FamiliarIntermittent-FamiliarContinuous,1.50105542648513,1.38
FamiliarIntermittent-FamiliarContinuous,1.48543285931401,1.435
FamiliarIntermittent-FamiliarContinuous,1.44594182655674,1.49
FamiliarIntermittent-FamiliarContinuous,1.39153717556896,1.545
FamiliarIntermittent-FamiliarContinuous,1.34009380027688,1.6
FamiliarIntermittent-FamiliarContinuous,1.2950044299669,1.655
FamiliarIntermittent-FamiliarContinuous,1.25079613199623,1.71
FamiliarIntermittent-FamiliarContinuous,1.19369334687257,1.765
FamiliarIntermittent-FamiliarContinuous,1.11397667577905,1.82
FamiliarIntermittent-FamiliarContinuous,1.0032186032404,1.875
FamiliarIntermittent-FamiliarContinuous,0.859198832630426,1.93
FamiliarIntermittent-FamiliarContinuous,0.706478719114468,1.985
FamiliarIntermittent-FamiliarContinuous,0.569298566546841,2.04
FamiliarIntermittent-FamiliarContinuous,0.460823108544038,2.095
FamiliarIntermittent-FamiliarContinuous,0.393381703326856,2.15
FamiliarIntermittent-FamiliarContinuous,0.366731230357804,2.205
FamiliarIntermittent-FamiliarContinuous,0.367015215359857,2.26
FamiliarIntermittent-FamiliarContinuous,0.383230815208931,2.315
FamiliarIntermittent-FamiliarContinuous,0.411556028569442,2.37
FamiliarIntermittent-FamiliarContinuous,0.444036522520508,2.425
FamiliarIntermittent-FamiliarContinuous,0.460676248102732,2.48
FamiliarIntermittent-FamiliarContinuous,0.456663542307341,2.535
FamiliarIntermittent-FamiliarContinuous,0.448340109234863,2.59
FamiliarIntermittent-FamiliarContinuous,0.452568871186666,2.645
FamiliarIntermittent-FamiliarContinuous,0.476207359548451,2.7
FamiliarIntermittent-FamiliarContinuous,0.530028766948278,2.755
FamiliarIntermittent-FamiliarContinuous,0.60072961153595,2.81
FamiliarIntermittent-FamiliarContinuous,0.66702812396006,2.865
FamiliarIntermittent-FamiliarContinuous,0.726189441087556,2.92
FamiliarIntermittent-FamiliarContinuous,0.777572869364316,2.975
FamiliarIntermittent-FamiliarContinuous,0.820241628752032,3.03
FamiliarIntermittent-FamiliarContinuous,0.848424927336636,3.085
FamiliarIntermittent-FamiliarContinuous,0.867990954933992,3.14
FamiliarIntermittent-FamiliarContinuous,0.879369541056962,3.195
FamiliarIntermittent-FamiliarContinuous,0.897659534935421,3.25
FamiliarIntermittent-FamiliarContinuous,0.919764369424433,3.305
FamiliarIntermittent-FamiliarContinuous,0.928300432915335,3.36
FamiliarIntermittent-FamiliarContinuous,0.935355039046691,3.415
FamiliarIntermittent-FamiliarContinuous,0.949201020913382,3.47
FamiliarIntermittent-FamiliarContinuous,0.974477897994723,3.525
FamiliarIntermittent-FamiliarContinuous,0.999903897554143,3.58
FamiliarIntermittent-FamiliarContinuous,1.01817598763818,3.635
FamiliarIntermittent-FamiliarContinuous,1.03020933813768,3.69
FamiliarIntermittent-FamiliarContinuous,1.03625372141251,3.745
FamiliarIntermittent-FamiliarContinuous,1.03366656838761,3.8
FamiliarIntermittent-FamiliarContinuous,1.01104882638408,3.855
FamiliarIntermittent-FamiliarContinuous,0.964042672569149,3.91
FamiliarIntermittent-FamiliarContinuous,0.898755549970349,3.965
FamiliarIntermittent-FamiliarContinuous,0.825799129541889,4.02
FamiliarIntermittent-FamiliarContinuous,0.757625367085344,4.075
FamiliarIntermittent-FamiliarContinuous,0.707584055025308,4.13
FamiliarIntermittent-FamiliarContinuous,0.688871311868877,4.185
FamiliarIntermittent-FamiliarContinuous,0.708915889040545,4.24
FamiliarIntermittent-FamiliarContinuous,0.758509422936789,4.295
FamiliarIntermittent-FamiliarContinuous,0.825293953341512,4.35
FamiliarIntermittent-FamiliarContinuous,0.907108626859758,4.405
FamiliarIntermittent-FamiliarContinuous,0.997665073899137,4.46
FamiliarIntermittent-FamiliarContinuous,1.09789362599077,4.515
FamiliarIntermittent-FamiliarContinuous,1.21007964318317,4.57
FamiliarIntermittent-FamiliarContinuous,1.32365247770076,4.625
FamiliarIntermittent-FamiliarContinuous,1.42526599290839,4.68
FamiliarIntermittent-FamiliarContinuous,1.50773908506183,4.735
