Comparison,t,z
IntermittentUnfamiliar-IntermittentFamiliar,0.732660151863266,0.5
IntermittentUnfamiliar-IntermittentFamiliar,0.625659684946292,0.555
IntermittentUnfamiliar-IntermittentFamiliar,0.565791888699934,0.61
IntermittentUnfamiliar-IntermittentFamiliar,0.564500557602179,0.665
IntermittentUnfamiliar-IntermittentFamiliar,0.551177447000436,0.72
IntermittentUnfamiliar-IntermittentFamiliar,0.488224856666351,0.775
IntermittentUnfamiliar-IntermittentFamiliar,0.405087983331351,0.83
IntermittentUnfamiliar-IntermittentFamiliar,0.315376537574612,0.885
IntermittentUnfamiliar-IntermittentFamiliar,0.249560213792664,0.94
IntermittentUnfamiliar-IntermittentFamiliar,0.206328840928579,0.995
IntermittentUnfamiliar-IntermittentFamiliar,0.188495754744614,1.05
IntermittentUnfamiliar-IntermittentFamiliar,0.21019126681336,1.105
IntermittentUnfamiliar-IntermittentFamiliar,0.137709290376713,1.16
IntermittentUnfamiliar-IntermittentFamiliar,0.0732976027746975,1.215
IntermittentUnfamiliar-IntermittentFamiliar,-0.0269265954417401,1.27
IntermittentUnfamiliar-IntermittentFamiliar,-0.064567401496474,1.325
IntermittentUnfamiliar-IntermittentFamiliar,-0.0764268968454417,1.38
IntermittentUnfamiliar-IntermittentFamiliar,-0.0303506053814303,1.435
IntermittentUnfamiliar-IntermittentFamiliar,0.110522821345098,1.49
IntermittentUnfamiliar-IntermittentFamiliar,0.322573851816507,1.545
IntermittentUnfamiliar-IntermittentFamiliar,0.529919607756592,1.6
IntermittentUnfamiliar-IntermittentFamiliar,0.66659096327501,1.655
IntermittentUnfamiliar-IntermittentFamiliar,0.722316407488743,1.71
IntermittentUnfamiliar-IntermittentFamiliar,0.778613509602466,1.765
IntermittentUnfamiliar-IntermittentFamiliar,0.896808624131967,1.82
IntermittentUnfamiliar-IntermittentFamiliar,1.05044010143039,1.875
IntermittentUnfamiliar-IntermittentFamiliar,1.20985176125025,1.93
IntermittentUnfamiliar-IntermittentFamiliar,1.34849779624307,1.985
IntermittentUnfamiliar-IntermittentFamiliar,1.44455285175522,2.04
IntermittentUnfamiliar-IntermittentFamiliar,1.49557097972061,2.095
IntermittentUnfamiliar-IntermittentFamiliar,1.53713855013908,2.15
IntermittentUnfamiliar-IntermittentFamiliar,1.5983645902106,2.205
IntermittentUnfamiliar-IntermittentFamiliar,1.67743758592998,2.26
IntermittentUnfamiliar-IntermittentFamiliar,1.75709882668474,2.315
IntermittentUnfamiliar-IntermittentFamiliar,1.82769821426623,2.37
IntermittentUnfamiliar-IntermittentFamiliar,1.88555046871887,2.425
IntermittentUnfamiliar-IntermittentFamiliar,1.92772090025965,2.48
IntermittentUnfamiliar-IntermittentFamiliar,1.95479301680028,2.535
IntermittentUnfamiliar-IntermittentFamiliar,1.97460660739355,2.59
IntermittentUnfamiliar-IntermittentFamiliar,1.98623845957469,2.645
IntermittentUnfamiliar-IntermittentFamiliar,1.98457558865426,2.7
IntermittentUnfamiliar-IntermittentFamiliar,1.97123697546962,2.755
IntermittentUnfamiliar-IntermittentFamiliar,1.95680916776574,2.81
IntermittentUnfamiliar-IntermittentFamiliar,1.93824487733792,2.865
IntermittentUnfamiliar-IntermittentFamiliar,1.89263302337164,2.92
IntermittentUnfamiliar-IntermittentFamiliar,1.81038084904461,2.975
IntermittentUnfamiliar-IntermittentFamiliar,1.72542071800537,3.03
IntermittentUnfamiliar-IntermittentFamiliar,1.65222385540585,3.085
IntermittentUnfamiliar-IntermittentFamiliar,1.58851061020981,3.14
IntermittentUnfamiliar-IntermittentFamiliar,1.54761999654827,3.195
IntermittentUnfamiliar-IntermittentFamiliar,1.5488845330323,3.25
IntermittentUnfamiliar-IntermittentFamiliar,1.58784231494604,3.305
IntermittentUnfamiliar-IntermittentFamiliar,1.6349761155498,3.36
IntermittentUnfamiliar-IntermittentFamiliar,1.65981371869188,3.415
IntermittentUnfamiliar-IntermittentFamiliar,1.64893268633065,3.47
IntermittentUnfamiliar-IntermittentFamiliar,1.60341773507743,3.525
IntermittentUnfamiliar-IntermittentFamiliar,1.55394571544493,3.58
IntermittentUnfamiliar-IntermittentFamiliar,1.53190013732292,3.635
IntermittentUnfamiliar-IntermittentFamiliar,1.53628965853904,3.69
IntermittentUnfamiliar-IntermittentFamiliar,1.5534361312491,3.745
IntermittentUnfamiliar-IntermittentFamiliar,1.57409451308982,3.8
IntermittentUnfamiliar-IntermittentFamiliar,1.5799879902603,3.855
IntermittentUnfamiliar-IntermittentFamiliar,1.55306788926867,3.91
