Comparison,t,z
UnfamiliarIntermittent-UnfamiliarContinuous,1.3029536235235,0.5
UnfamiliarIntermittent-UnfamiliarContinuous,1.3224357957469,0.555
UnfamiliarIntermittent-UnfamiliarContinuous,1.31201094992167,0.61
UnfamiliarIntermittent-UnfamiliarContinuous,1.3018652010531,0.665
UnfamiliarIntermittent-UnfamiliarContinuous,1.24356680617415,0.72
UnfamiliarIntermittent-UnfamiliarContinuous,1.15411686633025,0.775
UnfamiliarIntermittent-UnfamiliarContinuous,1.08057280242938,0.83
UnfamiliarIntermittent-UnfamiliarContinuous,0.972435805208735,0.885
UnfamiliarIntermittent-UnfamiliarContinuous,0.84474536961783,0.94
UnfamiliarIntermittent-UnfamiliarContinuous,0.723430550057525,0.995
UnfamiliarIntermittent-UnfamiliarContinuous,0.635571724869087,1.05
UnfamiliarIntermittent-UnfamiliarContinuous,0.606735363720043,1.105
UnfamiliarIntermittent-UnfamiliarContinuous,0.485252967077506,1.16
UnfamiliarIntermittent-UnfamiliarContinuous,0.336758353468744,1.215
UnfamiliarIntermittent-UnfamiliarContinuous,0.112205731451445,1.27
UnfamiliarIntermittent-UnfamiliarContinuous,-0.0490779294395487,1.325
UnfamiliarIntermittent-UnfamiliarContinuous,-0.221736755283871,1.38
UnfamiliarIntermittent-UnfamiliarContinuous,-0.351358709330437,1.435
UnfamiliarIntermittent-UnfamiliarContinuous,-0.346550810267562,1.49
UnfamiliarIntermittent-UnfamiliarContinuous,-0.168540563447248,1.545
UnfamiliarIntermittent-UnfamiliarContinuous,0.0775054926444765,1.6
UnfamiliarIntermittent-UnfamiliarContinuous,0.216207748027267,1.655
UnfamiliarIntermittent-UnfamiliarContinuous,0.179706047333949,1.71
UnfamiliarIntermittent-UnfamiliarContinuous,0.102783068384003,1.765
UnfamiliarIntermittent-UnfamiliarContinuous,0.095229926683631,1.82
UnfamiliarIntermittent-UnfamiliarContinuous,0.122582805353892,1.875
UnfamiliarIntermittent-UnfamiliarContinuous,0.160678358062255,1.93
UnfamiliarIntermittent-UnfamiliarContinuous,0.20581606765535,1.985
UnfamiliarIntermittent-UnfamiliarContinuous,0.2490658065085,2.04
UnfamiliarIntermittent-UnfamiliarContinuous,0.283205796706866,2.095
UnfamiliarIntermittent-UnfamiliarContinuous,0.338187764596622,2.15
UnfamiliarIntermittent-UnfamiliarContinuous,0.444450659120299,2.205
UnfamiliarIntermittent-UnfamiliarContinuous,0.584096367711074,2.26
UnfamiliarIntermittent-UnfamiliarContinuous,0.716032460709373,2.315
UnfamiliarIntermittent-UnfamiliarContinuous,0.822960918113716,2.37
UnfamiliarIntermittent-UnfamiliarContinuous,0.910841707417124,2.425
UnfamiliarIntermittent-UnfamiliarContinuous,0.987327625257364,2.48
UnfamiliarIntermittent-UnfamiliarContinuous,1.04621670146326,2.535
UnfamiliarIntermittent-UnfamiliarContinuous,1.08915830973258,2.59
UnfamiliarIntermittent-UnfamiliarContinuous,1.12838261990995,2.645
UnfamiliarIntermittent-UnfamiliarContinuous,1.17538191462268,2.7
UnfamiliarIntermittent-UnfamiliarContinuous,1.24697254460247,2.755
UnfamiliarIntermittent-UnfamiliarContinuous,1.35957619767239,2.81
UnfamiliarIntermittent-UnfamiliarContinuous,1.48738307317958,2.865
UnfamiliarIntermittent-UnfamiliarContinuous,1.57880556275467,2.92
UnfamiliarIntermittent-UnfamiliarContinuous,1.60775419947544,2.975
UnfamiliarIntermittent-UnfamiliarContinuous,1.60564470738618,3.03
UnfamiliarIntermittent-UnfamiliarContinuous,1.56957047472893,3.085
UnfamiliarIntermittent-UnfamiliarContinuous,1.49818905021974,3.14
UnfamiliarIntermittent-UnfamiliarContinuous,1.43090902122241,3.195
UnfamiliarIntermittent-UnfamiliarContinuous,1.42541728046913,3.25
UnfamiliarIntermittent-UnfamiliarContinuous,1.46986762371533,3.305
UnfamiliarIntermittent-UnfamiliarContinuous,1.51428009805664,3.36
UnfamiliarIntermittent-UnfamiliarContinuous,1.53168932052304,3.415
UnfamiliarIntermittent-UnfamiliarContinuous,1.51367644495221,3.47
UnfamiliarIntermittent-UnfamiliarContinuous,1.47161248505959,3.525
UnfamiliarIntermittent-UnfamiliarContinuous,1.43501786458022,3.58
UnfamiliarIntermittent-UnfamiliarContinuous,1.42996177588234,3.635
UnfamiliarIntermittent-UnfamiliarContinuous,1.45030343047413,3.69
UnfamiliarIntermittent-UnfamiliarContinuous,1.47314185862321,3.745
UnfamiliarIntermittent-UnfamiliarContinuous,1.48737661282174,3.8
UnfamiliarIntermittent-UnfamiliarContinuous,1.47508351650138,3.855
UnfamiliarIntermittent-UnfamiliarContinuous,1.41543128548616,3.91
UnfamiliarIntermittent-UnfamiliarContinuous,1.32447901418844,3.965
UnfamiliarIntermittent-UnfamiliarContinuous,1.24938172978123,4.02
UnfamiliarIntermittent-UnfamiliarContinuous,1.21485837384162,4.075
UnfamiliarIntermittent-UnfamiliarContinuous,1.2424060026831,4.13
UnfamiliarIntermittent-UnfamiliarContinuous,1.39998522190756,4.185
UnfamiliarIntermittent-UnfamiliarContinuous,1.33308319676039,4.24
UnfamiliarIntermittent-UnfamiliarContinuous,1.21966334859678,4.295
UnfamiliarIntermittent-UnfamiliarContinuous,1.21162982482276,4.35
UnfamiliarIntermittent-UnfamiliarContinuous,1.21762274105236,4.405
UnfamiliarIntermittent-UnfamiliarContinuous,1.22361211353361,4.46
UnfamiliarIntermittent-UnfamiliarContinuous,1.22575311142526,4.515
UnfamiliarIntermittent-UnfamiliarContinuous,1.2368607308147,4.57
UnfamiliarIntermittent-UnfamiliarContinuous,1.27344193209537,4.625
UnfamiliarIntermittent-UnfamiliarContinuous,1.3497632907058,4.68
UnfamiliarIntermittent-UnfamiliarContinuous,1.52863955184858,4.735
UnfamiliarIntermittent-UnfamiliarContinuous,1.70946437142075,4.79
UnfamiliarIntermittent-UnfamiliarContinuous,1.8522112022873,4.845
UnfamiliarIntermittent-UnfamiliarContinuous,1.9367349381443,4.9
UnfamiliarIntermittent-UnfamiliarContinuous,1.9702481656331,4.955
UnfamiliarIntermittent-UnfamiliarContinuous,1.97459998076143,5.01
UnfamiliarIntermittent-UnfamiliarContinuous,1.92285261062577,5.065
UnfamiliarIntermittent-UnfamiliarContinuous,2.16473526256129,5.12
UnfamiliarIntermittent-UnfamiliarContinuous,2.17367082985642,5.175
UnfamiliarIntermittent-UnfamiliarContinuous,2.12255052357414,5.23
UnfamiliarIntermittent-UnfamiliarContinuous,2.10426058998026,5.285
UnfamiliarIntermittent-UnfamiliarContinuous,2.12969318602954,5.34
UnfamiliarIntermittent-UnfamiliarContinuous,2.19022694467435,5.395
UnfamiliarIntermittent-UnfamiliarContinuous,2.21952965668291,5.45
UnfamiliarIntermittent-UnfamiliarContinuous,2.22275587409744,5.505
UnfamiliarIntermittent-UnfamiliarContinuous,2.22764949752969,5.56
UnfamiliarIntermittent-UnfamiliarContinuous,2.24472127337656,5.615
UnfamiliarIntermittent-UnfamiliarContinuous,2.28996258026661,5.67
UnfamiliarIntermittent-UnfamiliarContinuous,2.36822486326294,5.725
UnfamiliarIntermittent-UnfamiliarContinuous,2.4444299577449,5.78
UnfamiliarIntermittent-UnfamiliarContinuous,2.38167342186806,5.835
UnfamiliarIntermittent-UnfamiliarContinuous,2.40016832148458,5.89
UnfamiliarIntermittent-UnfamiliarContinuous,2.56414409080621,5.945
