"","SubjectNo","DisplayMode","Familiarity","seg.z","headingErr"
"1","D_S04","Intermittent","Unfamiliar",0.5,9.12284017812692
"2","D_S04","Intermittent","Unfamiliar",0.555,9.11700359036534
"3","D_S04","Intermittent","Unfamiliar",0.61,9.06115293851696
"4","D_S04","Intermittent","Unfamiliar",0.665,8.99170939840582
"5","D_S04","Intermittent","Unfamiliar",0.72,8.92992098028215
"6","D_S04","Intermittent","Unfamiliar",0.775,8.87318324932433
"7","D_S04","Intermittent","Unfamiliar",0.83,8.82830488994794
"8","D_S04","Intermittent","Unfamiliar",0.885,8.79393083099269
"9","D_S04","Intermittent","Unfamiliar",0.94,8.75126127978467
"10","D_S04","Intermittent","Unfamiliar",0.995,8.70076078421982
"11","D_S04","Intermittent","Unfamiliar",1.05,8.64298126304389
"12","D_S04","Intermittent","Unfamiliar",1.105,8.58687948940795
"13","D_S04","Intermittent","Unfamiliar",1.16,8.54437321382942
"14","D_S04","Intermittent","Unfamiliar",1.215,8.5278423900472
"15","D_S04","Intermittent","Unfamiliar",1.27,8.53666939153059
"16","D_S04","Intermittent","Unfamiliar",1.325,8.56445152624477
"17","D_S04","Intermittent","Unfamiliar",1.38,8.61077718989435
"18","D_S04","Intermittent","Unfamiliar",1.435,8.67364315994187
"19","D_S04","Intermittent","Unfamiliar",1.49,8.74222743365723
"20","D_S04","Intermittent","Unfamiliar",1.545,8.80947652256867
"21","D_S04","Intermittent","Unfamiliar",1.6,8.86543649297061
"22","D_S04","Intermittent","Unfamiliar",1.655,8.90899282956154
"23","D_S04","Intermittent","Unfamiliar",1.71,8.94134277307492
"24","D_S04","Intermittent","Unfamiliar",1.765,8.95762618540692
"25","D_S04","Intermittent","Unfamiliar",1.82,8.96058836083688
"26","D_S04","Intermittent","Unfamiliar",1.875,8.95694388821003
"27","D_S04","Intermittent","Unfamiliar",1.93,8.94958398424975
"28","D_S04","Intermittent","Unfamiliar",1.985,8.94563439387119
"29","D_S04","Intermittent","Unfamiliar",2.04,8.9500351364117
"30","D_S04","Intermittent","Unfamiliar",2.095,8.96352383006819
"31","D_S04","Intermittent","Unfamiliar",2.15,8.98336255277304
"32","D_S04","Intermittent","Unfamiliar",2.205,9.00985497184687
"33","D_S04","Intermittent","Unfamiliar",2.26,9.04243162508344
"34","D_S04","Intermittent","Unfamiliar",2.315,9.07765427796765
"35","D_S04","Intermittent","Unfamiliar",2.37,9.11560252192076
"36","D_S04","Intermittent","Unfamiliar",2.425,9.15806465948465
"37","D_S04","Intermittent","Unfamiliar",2.48,9.20434279102911
"38","D_S04","Intermittent","Unfamiliar",2.535,9.25139173747324
"39","D_S04","Intermittent","Unfamiliar",2.59,9.29998761813787
"40","D_S04","Intermittent","Unfamiliar",2.645,9.35298952348525
"41","D_S04","Intermittent","Unfamiliar",2.7,9.4138849911228
"42","D_S04","Intermittent","Unfamiliar",2.755,9.4920842295337
"43","D_S04","Intermittent","Unfamiliar",2.81,9.60306115183424
"44","D_S04","Intermittent","Unfamiliar",2.865,9.7565814756902
"45","D_S04","Intermittent","Unfamiliar",2.92,9.9332842736415
"46","D_S04","Intermittent","Unfamiliar",2.975,10.1208486427856
"47","D_S04","Intermittent","Unfamiliar",3.03,10.3200342659297
"48","D_S04","Intermittent","Unfamiliar",3.085,10.5255012220798
"49","D_S04","Intermittent","Unfamiliar",3.14,10.7159243232363
"50","D_S04","Intermittent","Unfamiliar",3.195,10.8854789235693
"51","D_S04","Intermittent","Unfamiliar",3.25,11.0609474721036
"52","D_S04","Intermittent","Unfamiliar",3.305,11.2298877902622
"53","D_S04","Intermittent","Unfamiliar",3.36,11.3952399311563
"54","D_S04","Intermittent","Unfamiliar",3.415,11.5467347122537
"55","D_S04","Intermittent","Unfamiliar",3.47,11.6705071246219
"56","D_S04","Intermittent","Unfamiliar",3.525,11.7654146920855
"57","D_S04","Intermittent","Unfamiliar",3.58,11.806226282267
"58","D_S04","Intermittent","Unfamiliar",3.635,11.7969761160774
"59","D_S04","Intermittent","Unfamiliar",3.69,11.7338347385621
"60","D_S04","Intermittent","Unfamiliar",3.745,11.6017192106594
"61","D_S04","Intermittent","Unfamiliar",3.8,11.3612238505042
"62","D_S04","Intermittent","Unfamiliar",3.855,10.9438162496651
"63","D_S04","Intermittent","Unfamiliar",3.91,10.3779472583015
"64","D_S04","Intermittent","Unfamiliar",3.965,9.79556280686117
"65","D_S04","Intermittent","Unfamiliar",4.02,9.32170844644492
"66","D_S04","Intermittent","Unfamiliar",4.075,8.99131263799952
"67","D_S04","Intermittent","Unfamiliar",4.13,8.86642052147984
"68","D_S04","Intermittent","Unfamiliar",4.185,8.96361431458045
"69","D_S04","Intermittent","Unfamiliar",4.24,9.20524545555535
"70","D_S04","Intermittent","Unfamiliar",4.295,9.46828825388827
"71","D_S04","Intermittent","Unfamiliar",4.35,9.68415505504987
"72","D_S04","Intermittent","Unfamiliar",4.405,9.70435455345227
"73","D_S04","Intermittent","Unfamiliar",4.46,9.4673691714767
"74","D_S04","Intermittent","Unfamiliar",4.515,9.17144578593981
"75","D_S04","Intermittent","Unfamiliar",4.57,8.92751973115399
"76","D_S04","Intermittent","Unfamiliar",4.625,8.74257921607655
"77","D_S04","Intermittent","Unfamiliar",4.68,8.59847547032903
"78","D_S04","Intermittent","Unfamiliar",4.735,8.49571513151169
"79","D_S04","Intermittent","Unfamiliar",4.79,8.42776455951514
"80","D_S04","Intermittent","Unfamiliar",4.845,8.37643322201759
"81","D_S04","Intermittent","Unfamiliar",4.9,8.3359696123928
"82","D_S04","Intermittent","Unfamiliar",4.955,8.30139788915357
"83","D_S04","Intermittent","Unfamiliar",5.01,8.26524184975501
"84","D_S04","Intermittent","Unfamiliar",5.065,8.23963640652328
"85","D_S04","Intermittent","Unfamiliar",5.12,8.23130210137378
"86","D_S04","Intermittent","Unfamiliar",5.175,8.23112962805355
"87","D_S04","Intermittent","Unfamiliar",5.23,8.23351490452176
"88","D_S04","Intermittent","Unfamiliar",5.285,8.23533331588845
"89","D_S04","Intermittent","Unfamiliar",5.34,8.23213038225322
"90","D_S04","Intermittent","Unfamiliar",5.395,8.23030111179925
"91","D_S04","Intermittent","Unfamiliar",5.45,8.22420362344998
"92","D_S04","Intermittent","Unfamiliar",5.505,8.20301215040697
"93","D_S04","Intermittent","Unfamiliar",5.56,8.19564323217859
"94","D_S04","Intermittent","Unfamiliar",5.615,8.2409916389795
"95","D_S04","Intermittent","Unfamiliar",5.67,8.37163010745521
"96","D_S04","Intermittent","Unfamiliar",5.725,8.62627747054274
"97","D_S04","Intermittent","Unfamiliar",5.78,9.02351805059489
"98","D_S04","Intermittent","Unfamiliar",5.835,9.6064032975358
"99","D_S04","Intermittent","Unfamiliar",5.89,10.3649132467067
"100","D_S04","Intermittent","Unfamiliar",5.945,11.2731876697732
"101","D_S07","Intermittent","Familiar",0.5,5.26252224530311
"102","D_S07","Intermittent","Familiar",0.555,5.39363507936912
"103","D_S07","Intermittent","Familiar",0.61,5.49020164307529
"104","D_S07","Intermittent","Familiar",0.665,5.54846311089782
"105","D_S07","Intermittent","Familiar",0.72,5.59448524993776
"106","D_S07","Intermittent","Familiar",0.775,5.67656180708775
"107","D_S07","Intermittent","Familiar",0.83,5.77847654263584
"108","D_S07","Intermittent","Familiar",0.885,5.82440802678014
"109","D_S07","Intermittent","Familiar",0.94,5.75826911253292
"110","D_S07","Intermittent","Familiar",0.995,5.57261895398749
"111","D_S07","Intermittent","Familiar",1.05,5.2264318880974
"112","D_S07","Intermittent","Familiar",1.105,4.77127326567097
"113","D_S07","Intermittent","Familiar",1.16,4.37706113110697
"114","D_S07","Intermittent","Familiar",1.215,4.10995064916999
"115","D_S07","Intermittent","Familiar",1.27,3.94768335284825
"116","D_S07","Intermittent","Familiar",1.325,3.86596710340047
"117","D_S07","Intermittent","Familiar",1.38,3.8172923490425
"118","D_S07","Intermittent","Familiar",1.435,3.72983626951287
"119","D_S07","Intermittent","Familiar",1.49,3.57421671864966
"120","D_S07","Intermittent","Familiar",1.545,3.4062424831937
"121","D_S07","Intermittent","Familiar",1.6,3.3121523916592
"122","D_S07","Intermittent","Familiar",1.655,3.31714736821461
"123","D_S07","Intermittent","Familiar",1.71,3.38873452317099
"124","D_S07","Intermittent","Familiar",1.765,3.48163926052186
"125","D_S07","Intermittent","Familiar",1.82,3.5582274599639
"126","D_S07","Intermittent","Familiar",1.875,3.60704271170015
"127","D_S07","Intermittent","Familiar",1.93,3.60745967753588
"128","D_S07","Intermittent","Familiar",1.985,3.53438138985748
"129","D_S07","Intermittent","Familiar",2.04,3.41482869819223
"130","D_S07","Intermittent","Familiar",2.095,3.29543623054085
"131","D_S07","Intermittent","Familiar",2.15,3.22633590056151
"132","D_S07","Intermittent","Familiar",2.205,3.20063681207897
"133","D_S07","Intermittent","Familiar",2.26,3.19860524484001
"134","D_S07","Intermittent","Familiar",2.315,3.22470358603671
"135","D_S07","Intermittent","Familiar",2.37,3.30253064765021
"136","D_S07","Intermittent","Familiar",2.425,3.42526114045634
"137","D_S07","Intermittent","Familiar",2.48,3.52328998850448
"138","D_S07","Intermittent","Familiar",2.535,3.59506213112795
"139","D_S07","Intermittent","Familiar",2.59,3.69104792716076
"140","D_S07","Intermittent","Familiar",2.645,3.82328214487571
"141","D_S07","Intermittent","Familiar",2.7,3.9485027063083
"142","D_S07","Intermittent","Familiar",2.755,4.03280038715964
"143","D_S07","Intermittent","Familiar",2.81,4.10736592417616
"144","D_S07","Intermittent","Familiar",2.865,4.22726671803023
"145","D_S07","Intermittent","Familiar",2.92,4.39305365597785
