Comparison,t,z
ContinuousUnfamiliar-ContinuousFamiliar,1.40797143912093,0.5
ContinuousUnfamiliar-ContinuousFamiliar,1.38573478208264,0.555
ContinuousUnfamiliar-ContinuousFamiliar,1.38953701004686,0.61
ContinuousUnfamiliar-ContinuousFamiliar,1.43827020485577,0.665
ContinuousUnfamiliar-ContinuousFamiliar,1.54041554597316,0.72
ContinuousUnfamiliar-ContinuousFamiliar,1.65100689737763,0.775
ContinuousUnfamiliar-ContinuousFamiliar,1.72001321275335,0.83
ContinuousUnfamiliar-ContinuousFamiliar,1.75061951242843,0.885
ContinuousUnfamiliar-ContinuousFamiliar,1.75068099147596,0.94
ContinuousUnfamiliar-ContinuousFamiliar,1.73819646782106,0.995
ContinuousUnfamiliar-ContinuousFamiliar,1.72461295491532,1.05
ContinuousUnfamiliar-ContinuousFamiliar,1.72393583326529,1.105
ContinuousUnfamiliar-ContinuousFamiliar,1.74230728813492,1.16
ContinuousUnfamiliar-ContinuousFamiliar,1.78243797064871,1.215
ContinuousUnfamiliar-ContinuousFamiliar,1.84071796772072,1.27
ContinuousUnfamiliar-ContinuousFamiliar,1.90523277143988,1.325
ContinuousUnfamiliar-ContinuousFamiliar,1.97819454419052,1.38
ContinuousUnfamiliar-ContinuousFamiliar,2.0611655306177,1.435
ContinuousUnfamiliar-ContinuousFamiliar,2.13451613765643,1.49
ContinuousUnfamiliar-ContinuousFamiliar,2.1797857339337,1.545
ContinuousUnfamiliar-ContinuousFamiliar,2.18988836360013,1.6
ContinuousUnfamiliar-ContinuousFamiliar,2.19170605135361,1.655
ContinuousUnfamiliar-ContinuousFamiliar,2.20624986858402,1.71
ContinuousUnfamiliar-ContinuousFamiliar,2.22963502541466,1.765
ContinuousUnfamiliar-ContinuousFamiliar,2.24912434675746,1.82
ContinuousUnfamiliar-ContinuousFamiliar,2.26112114691834,1.875
ContinuousUnfamiliar-ContinuousFamiliar,2.25276884635022,1.93
ContinuousUnfamiliar-ContinuousFamiliar,2.20514876381053,1.985
ContinuousUnfamiliar-ContinuousFamiliar,2.13501738366715,2.04
ContinuousUnfamiliar-ContinuousFamiliar,2.06617220721489,2.095
ContinuousUnfamiliar-ContinuousFamiliar,2.00939396875194,2.15
ContinuousUnfamiliar-ContinuousFamiliar,1.95288633864759,2.205
ContinuousUnfamiliar-ContinuousFamiliar,1.86971688921612,2.26
ContinuousUnfamiliar-ContinuousFamiliar,1.77464019978173,2.315
ContinuousUnfamiliar-ContinuousFamiliar,1.71740152210903,2.37
ContinuousUnfamiliar-ContinuousFamiliar,1.73049306270319,2.425
ContinuousUnfamiliar-ContinuousFamiliar,1.78311966945237,2.48
