Comparison,t,z
FamiliarIntermittent-FamiliarContinuous,1.06994413264531,0.5
FamiliarIntermittent-FamiliarContinuous,1.08431096424933,0.555
FamiliarIntermittent-FamiliarContinuous,1.10562635048377,0.61
FamiliarIntermittent-FamiliarContinuous,1.16054864580977,0.665
FamiliarIntermittent-FamiliarContinuous,1.25122849596266,0.72
FamiliarIntermittent-FamiliarContinuous,1.34371043123967,0.775
FamiliarIntermittent-FamiliarContinuous,1.39701720002948,0.83
FamiliarIntermittent-FamiliarContinuous,1.38965193190033,0.885
FamiliarIntermittent-FamiliarContinuous,1.33169663262113,0.94
FamiliarIntermittent-FamiliarContinuous,1.24636670754846,0.995
FamiliarIntermittent-FamiliarContinuous,1.15489096094194,1.05
FamiliarIntermittent-FamiliarContinuous,1.07753276311508,1.105
FamiliarIntermittent-FamiliarContinuous,1.02295176802805,1.16
FamiliarIntermittent-FamiliarContinuous,0.990567703655863,1.215
FamiliarIntermittent-FamiliarContinuous,0.969155565670211,1.27
FamiliarIntermittent-FamiliarContinuous,0.947903177786845,1.325
FamiliarIntermittent-FamiliarContinuous,0.92293888856362,1.38
FamiliarIntermittent-FamiliarContinuous,0.898202943501624,1.435
FamiliarIntermittent-FamiliarContinuous,0.865794990056728,1.49
FamiliarIntermittent-FamiliarContinuous,0.830479668993559,1.545
FamiliarIntermittent-FamiliarContinuous,0.794624069951018,1.6
FamiliarIntermittent-FamiliarContinuous,0.757055814751245,1.655
FamiliarIntermittent-FamiliarContinuous,0.717627111095564,1.71
FamiliarIntermittent-FamiliarContinuous,0.667313804312143,1.765
FamiliarIntermittent-FamiliarContinuous,0.560984799113389,1.82
FamiliarIntermittent-FamiliarContinuous,0.451173738124984,1.875
FamiliarIntermittent-FamiliarContinuous,0.350699456177673,1.93
FamiliarIntermittent-FamiliarContinuous,0.279258653109289,1.985
FamiliarIntermittent-FamiliarContinuous,0.238827494256083,2.04
FamiliarIntermittent-FamiliarContinuous,0.128865155515654,2.095
FamiliarIntermittent-FamiliarContinuous,0.0403227979872302,2.15
FamiliarIntermittent-FamiliarContinuous,0.020689450766569,2.205
FamiliarIntermittent-FamiliarContinuous,0.0324198760978427,2.26
FamiliarIntermittent-FamiliarContinuous,0.0410209902098788,2.315
FamiliarIntermittent-FamiliarContinuous,0.0537572039316892,2.37
FamiliarIntermittent-FamiliarContinuous,0.0631128064506566,2.425
FamiliarIntermittent-FamiliarContinuous,0.0506861137321219,2.48
FamiliarIntermittent-FamiliarContinuous,0.0299088951112482,2.535
FamiliarIntermittent-FamiliarContinuous,0.0172238632775919,2.59
FamiliarIntermittent-FamiliarContinuous,0.0247776193199306,2.645
FamiliarIntermittent-FamiliarContinuous,0.052497236875857,2.7
FamiliarIntermittent-FamiliarContinuous,0.0923829805143635,2.755
FamiliarIntermittent-FamiliarContinuous,0.133375345322526,2.81
FamiliarIntermittent-FamiliarContinuous,0.167170093528682,2.865
FamiliarIntermittent-FamiliarContinuous,0.203347477152051,2.92
FamiliarIntermittent-FamiliarContinuous,0.253245206660148,2.975
FamiliarIntermittent-FamiliarContinuous,0.305109403462286,3.03
FamiliarIntermittent-FamiliarContinuous,0.370805187249196,3.085
FamiliarIntermittent-FamiliarContinuous,0.373294254858821,3.14
FamiliarIntermittent-FamiliarContinuous,0.285911156206277,3.195
FamiliarIntermittent-FamiliarContinuous,0.243906211114399,3.25
FamiliarIntermittent-FamiliarContinuous,0.193900712635543,3.305
FamiliarIntermittent-FamiliarContinuous,0.122063698235333,3.36
FamiliarIntermittent-FamiliarContinuous,0.0559317849782789,3.415
