Comparison,t,z
IntermittentUnfamiliar-IntermittentFamiliar,0.606527533092238,0.5
IntermittentUnfamiliar-IntermittentFamiliar,0.549351835252333,0.555
IntermittentUnfamiliar-IntermittentFamiliar,0.480136196135579,0.61
IntermittentUnfamiliar-IntermittentFamiliar,0.336533817542186,0.665
IntermittentUnfamiliar-IntermittentFamiliar,0.815565599769003,0.72
IntermittentUnfamiliar-IntermittentFamiliar,0.940409548227584,0.775
IntermittentUnfamiliar-IntermittentFamiliar,0.850222142460811,0.83
IntermittentUnfamiliar-IntermittentFamiliar,0.797690255859507,0.885
IntermittentUnfamiliar-IntermittentFamiliar,0.780431921904002,0.94
IntermittentUnfamiliar-IntermittentFamiliar,0.789854524637613,0.995
IntermittentUnfamiliar-IntermittentFamiliar,0.831452930070641,1.05
IntermittentUnfamiliar-IntermittentFamiliar,0.905547986556559,1.105
IntermittentUnfamiliar-IntermittentFamiliar,0.925049213575479,1.16
IntermittentUnfamiliar-IntermittentFamiliar,0.943526904428311,1.215
IntermittentUnfamiliar-IntermittentFamiliar,0.935152288473901,1.27
IntermittentUnfamiliar-IntermittentFamiliar,0.961614133482484,1.325
IntermittentUnfamiliar-IntermittentFamiliar,0.989292085671129,1.38
IntermittentUnfamiliar-IntermittentFamiliar,1.03741591486049,1.435
IntermittentUnfamiliar-IntermittentFamiliar,1.13136529632826,1.49
IntermittentUnfamiliar-IntermittentFamiliar,1.26570086386635,1.545
IntermittentUnfamiliar-IntermittentFamiliar,1.40351295706618,1.6
IntermittentUnfamiliar-IntermittentFamiliar,1.49128776673025,1.655
IntermittentUnfamiliar-IntermittentFamiliar,1.51402912818564,1.71
IntermittentUnfamiliar-IntermittentFamiliar,1.54323862103617,1.765
IntermittentUnfamiliar-IntermittentFamiliar,1.68356776348489,1.82
IntermittentUnfamiliar-IntermittentFamiliar,1.82064222793245,1.875
IntermittentUnfamiliar-IntermittentFamiliar,1.92168709536948,1.93
IntermittentUnfamiliar-IntermittentFamiliar,1.94957462555246,1.985
IntermittentUnfamiliar-IntermittentFamiliar,1.9130397198675,2.04
IntermittentUnfamiliar-IntermittentFamiliar,2.00744198299901,2.095
IntermittentUnfamiliar-IntermittentFamiliar,2.10785531044036,2.15
IntermittentUnfamiliar-IntermittentFamiliar,2.16686788102549,2.205
IntermittentUnfamiliar-IntermittentFamiliar,2.2083863614406,2.26
IntermittentUnfamiliar-IntermittentFamiliar,2.24642877357789,2.315
IntermittentUnfamiliar-IntermittentFamiliar,2.26592863162335,2.37
IntermittentUnfamiliar-IntermittentFamiliar,2.29079685244248,2.425
IntermittentUnfamiliar-IntermittentFamiliar,2.32933190814392,2.48
IntermittentUnfamiliar-IntermittentFamiliar,2.35565659371873,2.535
IntermittentUnfamiliar-IntermittentFamiliar,2.35373544575353,2.59
IntermittentUnfamiliar-IntermittentFamiliar,2.31921231647966,2.645
IntermittentUnfamiliar-IntermittentFamiliar,2.27330284187933,2.7
IntermittentUnfamiliar-IntermittentFamiliar,2.25445816797585,2.755
IntermittentUnfamiliar-IntermittentFamiliar,2.26979711916081,2.81
IntermittentUnfamiliar-IntermittentFamiliar,2.29727514996287,2.865
IntermittentUnfamiliar-IntermittentFamiliar,2.30499845873314,2.92
IntermittentUnfamiliar-IntermittentFamiliar,2.27642232908366,2.975
IntermittentUnfamiliar-IntermittentFamiliar,2.23466525812494,3.03
IntermittentUnfamiliar-IntermittentFamiliar,2.12583181030467,3.085
IntermittentUnfamiliar-IntermittentFamiliar,2.09432672440313,3.14
IntermittentUnfamiliar-IntermittentFamiliar,2.20720792068144,3.195
IntermittentUnfamiliar-IntermittentFamiliar,2.2529215161125,3.25
IntermittentUnfamiliar-IntermittentFamiliar,2.30175480423121,3.305
IntermittentUnfamiliar-IntermittentFamiliar,2.35122805788551,3.36
IntermittentUnfamiliar-IntermittentFamiliar,2.39061718851479,3.415
IntermittentUnfamiliar-IntermittentFamiliar,2.41537701512222,3.47
IntermittentUnfamiliar-IntermittentFamiliar,2.42360201016256,3.525
IntermittentUnfamiliar-IntermittentFamiliar,2.43035528690215,3.58
IntermittentUnfamiliar-IntermittentFamiliar,2.45972710823871,3.635
IntermittentUnfamiliar-IntermittentFamiliar,2.51440532276983,3.69
IntermittentUnfamiliar-IntermittentFamiliar,2.5855055363998,3.745
IntermittentUnfamiliar-IntermittentFamiliar,2.66322230970784,3.8
IntermittentUnfamiliar-IntermittentFamiliar,2.73220219330054,3.855
IntermittentUnfamiliar-IntermittentFamiliar,2.77974991906965,3.91
IntermittentUnfamiliar-IntermittentFamiliar,2.81174691187696,3.965
IntermittentUnfamiliar-IntermittentFamiliar,2.846625057177,4.02
IntermittentUnfamiliar-IntermittentFamiliar,2.89346253759511,4.075
IntermittentUnfamiliar-IntermittentFamiliar,2.95349902989153,4.13
IntermittentUnfamiliar-IntermittentFamiliar,3.04805160031718,4.185
IntermittentUnfamiliar-IntermittentFamiliar,2.97224812203491,4.24
IntermittentUnfamiliar-IntermittentFamiliar,2.83249355855423,4.295
IntermittentUnfamiliar-IntermittentFamiliar,2.73781744808943,4.35
IntermittentUnfamiliar-IntermittentFamiliar,2.65734103398703,4.405
IntermittentUnfamiliar-IntermittentFamiliar,2.60533058032994,4.46
IntermittentUnfamiliar-IntermittentFamiliar,2.57863642161533,4.515
IntermittentUnfamiliar-IntermittentFamiliar,2.57156445291415,4.57
IntermittentUnfamiliar-IntermittentFamiliar,2.58364921632516,4.625
IntermittentUnfamiliar-IntermittentFamiliar,2.61859302520168,4.68
IntermittentUnfamiliar-IntermittentFamiliar,2.72479005689756,4.735
IntermittentUnfamiliar-IntermittentFamiliar,2.83823716021624,4.79
IntermittentUnfamiliar-IntermittentFamiliar,2.91651895621381,4.845
IntermittentUnfamiliar-IntermittentFamiliar,2.9361640735038,4.9
IntermittentUnfamiliar-IntermittentFamiliar,2.93229828696746,4.955
IntermittentUnfamiliar-IntermittentFamiliar,2.94205831941039,5.01
IntermittentUnfamiliar-IntermittentFamiliar,2.94654637494754,5.065
IntermittentUnfamiliar-IntermittentFamiliar,2.91396229103035,5.12
IntermittentUnfamiliar-IntermittentFamiliar,2.84252886646666,5.175
IntermittentUnfamiliar-IntermittentFamiliar,2.76990141014754,5.23
IntermittentUnfamiliar-IntermittentFamiliar,2.6992822127145,5.285
IntermittentUnfamiliar-IntermittentFamiliar,2.64376190403297,5.34
IntermittentUnfamiliar-IntermittentFamiliar,2.61474198308848,5.395
IntermittentUnfamiliar-IntermittentFamiliar,2.57010210326488,5.45
IntermittentUnfamiliar-IntermittentFamiliar,2.51765993423126,5.505
IntermittentUnfamiliar-IntermittentFamiliar,2.47543656271057,5.56
IntermittentUnfamiliar-IntermittentFamiliar,2.44268839633704,5.615
IntermittentUnfamiliar-IntermittentFamiliar,2.40963645678527,5.67
IntermittentUnfamiliar-IntermittentFamiliar,2.35599980446932,5.725
IntermittentUnfamiliar-IntermittentFamiliar,2.27385312021818,5.78
IntermittentUnfamiliar-IntermittentFamiliar,2.12405148181708,5.835
IntermittentUnfamiliar-IntermittentFamiliar,2.04528486641567,5.89
IntermittentUnfamiliar-IntermittentFamiliar,2.02921392180511,5.945
