Comparison,t,z
UnfamiliarIntermittent-UnfamiliarContinuous,0.377269814086962,0.5
UnfamiliarIntermittent-UnfamiliarContinuous,0.332052676178411,0.555
UnfamiliarIntermittent-UnfamiliarContinuous,0.270085624360853,0.61
UnfamiliarIntermittent-UnfamiliarContinuous,0.139054192251502,0.665
UnfamiliarIntermittent-UnfamiliarContinuous,0.611840789752702,0.72
UnfamiliarIntermittent-UnfamiliarContinuous,0.738127204913953,0.775
UnfamiliarIntermittent-UnfamiliarContinuous,0.642780737625685,0.83
UnfamiliarIntermittent-UnfamiliarContinuous,0.55902353932896,0.885
UnfamiliarIntermittent-UnfamiliarContinuous,0.49915785179126,0.94
UnfamiliarIntermittent-UnfamiliarContinuous,0.453535220256596,0.995
UnfamiliarIntermittent-UnfamiliarContinuous,0.434541176380018,1.05
UnfamiliarIntermittent-UnfamiliarContinuous,0.456739011457797,1.105
UnfamiliarIntermittent-UnfamiliarContinuous,0.419391181654523,1.16
UnfamiliarIntermittent-UnfamiliarContinuous,0.390760593643357,1.215
UnfamiliarIntermittent-UnfamiliarContinuous,0.324291132962284,1.27
UnfamiliarIntermittent-UnfamiliarContinuous,0.293858493324521,1.325
UnfamiliarIntermittent-UnfamiliarContinuous,0.248868257590173,1.38
UnfamiliarIntermittent-UnfamiliarContinuous,0.208541839369741,1.435
UnfamiliarIntermittent-UnfamiliarContinuous,0.219750412623916,1.49
UnfamiliarIntermittent-UnfamiliarContinuous,0.301864642212044,1.545
UnfamiliarIntermittent-UnfamiliarContinuous,0.416876973167581,1.6
UnfamiliarIntermittent-UnfamiliarContinuous,0.468070052175441,1.655
UnfamiliarIntermittent-UnfamiliarContinuous,0.405338532067026,1.71
UnfamiliarIntermittent-UnfamiliarContinuous,0.309423370154277,1.765
UnfamiliarIntermittent-UnfamiliarContinuous,0.251693403696122,1.82
UnfamiliarIntermittent-UnfamiliarContinuous,0.227026329560932,1.875
UnfamiliarIntermittent-UnfamiliarContinuous,0.237770141150927,1.93
UnfamiliarIntermittent-UnfamiliarContinuous,0.281492919972871,1.985
UnfamiliarIntermittent-UnfamiliarContinuous,0.33216375448306,2.04
UnfamiliarIntermittent-UnfamiliarContinuous,0.372540621411246,2.095
UnfamiliarIntermittent-UnfamiliarContinuous,0.436677813091247,2.15
UnfamiliarIntermittent-UnfamiliarContinuous,0.566413075547057,2.205
UnfamiliarIntermittent-UnfamiliarContinuous,0.754717886463597,2.26
UnfamiliarIntermittent-UnfamiliarContinuous,0.949854626992677,2.315
UnfamiliarIntermittent-UnfamiliarContinuous,1.10608554118943,2.37
UnfamiliarIntermittent-UnfamiliarContinuous,1.2046737825752,2.425
UnfamiliarIntermittent-UnfamiliarContinuous,1.24538405302993,2.48
UnfamiliarIntermittent-UnfamiliarContinuous,1.25486677912409,2.535
UnfamiliarIntermittent-UnfamiliarContinuous,1.26771579820241,2.59
UnfamiliarIntermittent-UnfamiliarContinuous,1.26897264804312,2.645
UnfamiliarIntermittent-UnfamiliarContinuous,1.25541591137421,2.7
UnfamiliarIntermittent-UnfamiliarContinuous,1.25219474288691,2.755
UnfamiliarIntermittent-UnfamiliarContinuous,1.27531636012459,2.81
UnfamiliarIntermittent-UnfamiliarContinuous,1.31087407964567,2.865
UnfamiliarIntermittent-UnfamiliarContinuous,1.32842855067358,2.92
UnfamiliarIntermittent-UnfamiliarContinuous,1.31838613771256,2.975
UnfamiliarIntermittent-UnfamiliarContinuous,1.30445883169131,3.03
UnfamiliarIntermittent-UnfamiliarContinuous,1.2789544185847,3.085
UnfamiliarIntermittent-UnfamiliarContinuous,1.23613662167402,3.14
UnfamiliarIntermittent-UnfamiliarContinuous,1.18826673222877,3.195
UnfamiliarIntermittent-UnfamiliarContinuous,1.16704958945545,3.25
UnfamiliarIntermittent-UnfamiliarContinuous,1.18475526381334,3.305
UnfamiliarIntermittent-UnfamiliarContinuous,1.22857270203375,3.36
UnfamiliarIntermittent-UnfamiliarContinuous,1.28375485488465,3.415
UnfamiliarIntermittent-UnfamiliarContinuous,1.33175052634044,3.47
UnfamiliarIntermittent-UnfamiliarContinuous,1.37021875864023,3.525
UnfamiliarIntermittent-UnfamiliarContinuous,1.40810435974719,3.58
UnfamiliarIntermittent-UnfamiliarContinuous,1.45229029420045,3.635
UnfamiliarIntermittent-UnfamiliarContinuous,1.4963540514625,3.69
UnfamiliarIntermittent-UnfamiliarContinuous,1.53325513611314,3.745
UnfamiliarIntermittent-UnfamiliarContinuous,1.56801953919495,3.8
UnfamiliarIntermittent-UnfamiliarContinuous,1.59180432389091,3.855
UnfamiliarIntermittent-UnfamiliarContinuous,1.59077998085446,3.91
UnfamiliarIntermittent-UnfamiliarContinuous,1.56860227412532,3.965
UnfamiliarIntermittent-UnfamiliarContinuous,1.54651304583055,4.02
UnfamiliarIntermittent-UnfamiliarContinuous,1.54171549784658,4.075
UnfamiliarIntermittent-UnfamiliarContinuous,1.56909918771563,4.13
UnfamiliarIntermittent-UnfamiliarContinuous,1.67292481971422,4.185
UnfamiliarIntermittent-UnfamiliarContinuous,1.6150593897651,4.24
UnfamiliarIntermittent-UnfamiliarContinuous,1.54340460351791,4.295
UnfamiliarIntermittent-UnfamiliarContinuous,1.57845430096851,4.35
UnfamiliarIntermittent-UnfamiliarContinuous,1.63104034348785,4.405
UnfamiliarIntermittent-UnfamiliarContinuous,1.65672231532957,4.46
UnfamiliarIntermittent-UnfamiliarContinuous,1.62803768688794,4.515
UnfamiliarIntermittent-UnfamiliarContinuous,1.77382787639558,4.57
UnfamiliarIntermittent-UnfamiliarContinuous,1.91310375735927,4.625
UnfamiliarIntermittent-UnfamiliarContinuous,2.0114902190567,4.68
UnfamiliarIntermittent-UnfamiliarContinuous,2.16487255042924,4.735
UnfamiliarIntermittent-UnfamiliarContinuous,2.30903777672114,4.79
UnfamiliarIntermittent-UnfamiliarContinuous,2.41579545050008,4.845
