"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"1","L_S15","Lit","NoGoggles","Familiar",0.5,3.95319703411817
"2","L_S15","Lit","NoGoggles","Familiar",0.555,4.11103882529528
"3","L_S15","Lit","NoGoggles","Familiar",0.61,4.2067400008304
"4","L_S15","Lit","NoGoggles","Familiar",0.665,4.24489942869478
"5","L_S15","Lit","NoGoggles","Familiar",0.72,4.21613105303668
"6","L_S15","Lit","NoGoggles","Familiar",0.775,4.14099706914275
"7","L_S15","Lit","NoGoggles","Familiar",0.83,4.01909947925087
"8","L_S15","Lit","NoGoggles","Familiar",0.885,3.85501080876803
"9","L_S15","Lit","NoGoggles","Familiar",0.94,3.6538900174344
"10","L_S15","Lit","NoGoggles","Familiar",0.995,3.42349782139511
"11","L_S15","Lit","NoGoggles","Familiar",1.05,3.17211332887917
"12","L_S15","Lit","NoGoggles","Familiar",1.105,2.91186879708042
"13","L_S15","Lit","NoGoggles","Familiar",1.16,2.66759566879791
"14","L_S15","Lit","NoGoggles","Familiar",1.215,2.40267324601085
"15","L_S15","Lit","NoGoggles","Familiar",1.27,2.14966786030862
"16","L_S15","Lit","NoGoggles","Familiar",1.325,1.9320286020952
"17","L_S15","Lit","NoGoggles","Familiar",1.38,1.71563119429338
"18","L_S15","Lit","NoGoggles","Familiar",1.435,1.52492346288125
"19","L_S15","Lit","NoGoggles","Familiar",1.49,1.37409027703004
"20","L_S15","Lit","NoGoggles","Familiar",1.545,1.23656669440863
"21","L_S15","Lit","NoGoggles","Familiar",1.6,1.12760311385616
"22","L_S15","Lit","NoGoggles","Familiar",1.655,1.04795963014806
"23","L_S15","Lit","NoGoggles","Familiar",1.71,0.98478624431528
"24","L_S15","Lit","NoGoggles","Familiar",1.765,0.941806579844707
"25","L_S15","Lit","NoGoggles","Familiar",1.82,0.916531523869716
"26","L_S15","Lit","NoGoggles","Familiar",1.875,0.903279918615529
"27","L_S15","Lit","NoGoggles","Familiar",1.93,0.905397435544002
"28","L_S15","Lit","NoGoggles","Familiar",1.985,0.911839285562309
"29","L_S15","Lit","NoGoggles","Familiar",2.04,0.923019404221245
"30","L_S15","Lit","NoGoggles","Familiar",2.095,0.938898109782181
"31","L_S15","Lit","NoGoggles","Familiar",2.15,0.958081981494354
"32","L_S15","Lit","NoGoggles","Familiar",2.205,0.989348337813447
"33","L_S15","Lit","NoGoggles","Familiar",2.26,1.02140956216087
"34","L_S15","Lit","NoGoggles","Familiar",2.315,1.06649579532078
"35","L_S15","Lit","NoGoggles","Familiar",2.37,1.11937330316602
"36","L_S15","Lit","NoGoggles","Familiar",2.425,1.17441619946234
"37","L_S15","Lit","NoGoggles","Familiar",2.48,1.24679681389725
"38","L_S15","Lit","NoGoggles","Familiar",2.535,1.32626999260374
"39","L_S15","Lit","NoGoggles","Familiar",2.59,1.41228553003847
"40","L_S15","Lit","NoGoggles","Familiar",2.645,1.51083908957944
"41","L_S15","Lit","NoGoggles","Familiar",2.7,1.6149081936505
"42","L_S15","Lit","NoGoggles","Familiar",2.755,1.72568525850054
"43","L_S15","Lit","NoGoggles","Familiar",2.81,1.84377892137338
"44","L_S15","Lit","NoGoggles","Familiar",2.865,1.96088621849378
"45","L_S15","Lit","NoGoggles","Familiar",2.92,2.08379301157704
"46","L_S15","Lit","NoGoggles","Familiar",2.975,2.20274539965394
"47","L_S15","Lit","NoGoggles","Familiar",3.03,2.32214604278109
"48","L_S15","Lit","NoGoggles","Familiar",3.085,2.44576044420984
"49","L_S15","Lit","NoGoggles","Familiar",3.14,2.55282659139878
"50","L_S15","Lit","NoGoggles","Familiar",3.195,2.65454638722955
"51","L_S15","Lit","NoGoggles","Familiar",3.25,2.75170937451788
"52","L_S15","Lit","NoGoggles","Familiar",3.305,2.82966834320977
"53","L_S15","Lit","NoGoggles","Familiar",3.36,2.89839893487703
"54","L_S15","Lit","NoGoggles","Familiar",3.415,2.96322911296729
"55","L_S15","Lit","NoGoggles","Familiar",3.47,3.02169619927607
"56","L_S15","Lit","NoGoggles","Familiar",3.525,3.07183660766952
"57","L_S15","Lit","NoGoggles","Familiar",3.58,3.1252506704903
"58","L_S15","Lit","NoGoggles","Familiar",3.635,3.17412154780784
"59","L_S15","Lit","NoGoggles","Familiar",3.69,3.21706841685896
"60","L_S15","Lit","NoGoggles","Familiar",3.745,3.26885743498029
"61","L_S15","Lit","NoGoggles","Familiar",3.8,3.31950001142342
"62","L_S15","Lit","NoGoggles","Familiar",3.855,3.3620248131837
"63","L_S15","Lit","NoGoggles","Familiar",3.91,3.40586312963961
"64","L_S15","Lit","NoGoggles","Familiar",3.965,3.44545766586535
"65","L_S15","Lit","NoGoggles","Familiar",4.02,3.47526322301357
"66","L_S15","Lit","NoGoggles","Familiar",4.075,3.5019984600351
"67","L_S15","Lit","NoGoggles","Familiar",4.13,3.52008516178656
"68","L_S15","Lit","NoGoggles","Familiar",4.185,3.52474188831684
"69","L_S15","Lit","NoGoggles","Familiar",4.24,3.52206251080589
"70","L_S15","Lit","NoGoggles","Familiar",4.295,3.50981550665007
"71","L_S15","Lit","NoGoggles","Familiar",4.35,3.48075746723749
"72","L_S15","Lit","NoGoggles","Familiar",4.405,3.44355467560915
"73","L_S15","Lit","NoGoggles","Familiar",4.46,3.39990488497164
"74","L_S15","Lit","NoGoggles","Familiar",4.515,3.34403211038197
"75","L_S15","Lit","NoGoggles","Familiar",4.57,3.27747910047296
"76","L_S15","Lit","NoGoggles","Familiar",4.625,3.2064423794231
"77","L_S15","Lit","NoGoggles","Familiar",4.68,3.12815445204469
"78","L_S15","Lit","NoGoggles","Familiar",4.735,3.04146484982879
"79","L_S15","Lit","NoGoggles","Familiar",4.79,2.94953438634101
"80","L_S15","Lit","NoGoggles","Familiar",4.845,2.85628077115503
"81","L_S15","Lit","NoGoggles","Familiar",4.9,2.76517801854904
"82","L_S15","Lit","NoGoggles","Familiar",4.955,2.66603387494931
"83","L_S15","Lit","NoGoggles","Familiar",5.01,2.57066672162863
"84","L_S15","Lit","NoGoggles","Familiar",5.065,2.48591022881735
"85","L_S15","Lit","NoGoggles","Familiar",5.12,2.39806326820705
"86","L_S15","Lit","NoGoggles","Familiar",5.175,2.31734967889451
