Comparison,t,z
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.37402514758998,0.5
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.400106820261892,0.555
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.446318704509149,0.61
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.493383245580013,0.665
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.547743761292629,0.72
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.603697540775958,0.775
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.654670664635924,0.83
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.696933213343283,0.885
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.734286227807849,0.94
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.765788456802693,0.995
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.791092589925992,1.05
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.814096358512079,1.105
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.821850556245235,1.16
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.824406426093436,1.215
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.830496918648364,1.27
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.830943077350954,1.325
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.821181399749431,1.38
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.810032251478917,1.435
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.804437162962851,1.49
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.793823412352282,1.545
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.775644937272728,1.6
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.750737007174556,1.655
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.724843082910041,1.71
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.693983443408761,1.765
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.656629304174907,1.82
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.623872225975819,1.875
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.594946149495152,1.93
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.565939892024202,1.985
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.539997458705214,2.04
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.514844289006677,2.095
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.492922477632469,2.15
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.473312295611335,2.205
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.451937644024921,2.26
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.431775606482888,2.315
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.407446976191621,2.37
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.384702110961133,2.425
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.364483137085429,2.48
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.34217296560531,2.535
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.325787277466083,2.59
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.312503383477353,2.645
