"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"1","L_S135","Lit","NoGoggles","Unfamiliar",0.5,5.44844818991724
"2","L_S135","Lit","NoGoggles","Unfamiliar",0.555,5.37328553642642
"3","L_S135","Lit","NoGoggles","Unfamiliar",0.61,5.31026121073851
"4","L_S135","Lit","NoGoggles","Unfamiliar",0.665,5.24815098727205
"5","L_S135","Lit","NoGoggles","Unfamiliar",0.72,5.17697510290435
"6","L_S135","Lit","NoGoggles","Unfamiliar",0.775,5.109428995284
"7","L_S135","Lit","NoGoggles","Unfamiliar",0.83,5.05342921276891
"8","L_S135","Lit","NoGoggles","Unfamiliar",0.885,4.99409089934829
"9","L_S135","Lit","NoGoggles","Unfamiliar",0.94,4.94209177603949
"10","L_S135","Lit","NoGoggles","Unfamiliar",0.995,4.89737752751434
"11","L_S135","Lit","NoGoggles","Unfamiliar",1.05,4.84967126297018
"12","L_S135","Lit","NoGoggles","Unfamiliar",1.105,4.79095530913179
"13","L_S135","Lit","NoGoggles","Unfamiliar",1.16,4.72404911670916
"14","L_S135","Lit","NoGoggles","Unfamiliar",1.215,4.66502112441637
"15","L_S135","Lit","NoGoggles","Unfamiliar",1.27,4.6013681822953
"16","L_S135","Lit","NoGoggles","Unfamiliar",1.325,4.53166319152742
"17","L_S135","Lit","NoGoggles","Unfamiliar",1.38,4.45973873635154
"18","L_S135","Lit","NoGoggles","Unfamiliar",1.435,4.38285703801672
"19","L_S135","Lit","NoGoggles","Unfamiliar",1.49,4.3059169780623
"20","L_S135","Lit","NoGoggles","Unfamiliar",1.545,4.22664577148814
"21","L_S135","Lit","NoGoggles","Unfamiliar",1.6,4.14119961792234
"22","L_S135","Lit","NoGoggles","Unfamiliar",1.655,4.050625964468
"23","L_S135","Lit","NoGoggles","Unfamiliar",1.71,3.96047407682342
"24","L_S135","Lit","NoGoggles","Unfamiliar",1.765,3.86156024669864
"25","L_S135","Lit","NoGoggles","Unfamiliar",1.82,3.76017341016702
"26","L_S135","Lit","NoGoggles","Unfamiliar",1.875,3.65766979302706
"27","L_S135","Lit","NoGoggles","Unfamiliar",1.93,3.56187329310473
"28","L_S135","Lit","NoGoggles","Unfamiliar",1.985,3.47037223945194
"29","L_S135","Lit","NoGoggles","Unfamiliar",2.04,3.37689739321518
"30","L_S135","Lit","NoGoggles","Unfamiliar",2.095,3.29066667899771
"31","L_S135","Lit","NoGoggles","Unfamiliar",2.15,3.21002375735883
"32","L_S135","Lit","NoGoggles","Unfamiliar",2.205,3.139201148228
"33","L_S135","Lit","NoGoggles","Unfamiliar",2.26,3.07474434277455
"34","L_S135","Lit","NoGoggles","Unfamiliar",2.315,3.01887570852276
"35","L_S135","Lit","NoGoggles","Unfamiliar",2.37,2.97263439587518
"36","L_S135","Lit","NoGoggles","Unfamiliar",2.425,2.93428191360186
"37","L_S135","Lit","NoGoggles","Unfamiliar",2.48,2.9095196026286
"38","L_S135","Lit","NoGoggles","Unfamiliar",2.535,2.89415113572676
"39","L_S135","Lit","NoGoggles","Unfamiliar",2.59,2.88761883532754
"40","L_S135","Lit","NoGoggles","Unfamiliar",2.645,2.89120425457159
"41","L_S135","Lit","NoGoggles","Unfamiliar",2.7,2.90056055078079
"42","L_S135","Lit","NoGoggles","Unfamiliar",2.755,2.92115655508191
"43","L_S135","Lit","NoGoggles","Unfamiliar",2.81,2.9581444586135
"44","L_S135","Lit","NoGoggles","Unfamiliar",2.865,3.0101826079638
"45","L_S135","Lit","NoGoggles","Unfamiliar",2.92,3.07511623262214
"46","L_S135","Lit","NoGoggles","Unfamiliar",2.975,3.15216425440517
"47","L_S135","Lit","NoGoggles","Unfamiliar",3.03,3.24830524368121
"48","L_S135","Lit","NoGoggles","Unfamiliar",3.085,3.36051929056234
"49","L_S135","Lit","NoGoggles","Unfamiliar",3.14,3.48230951017903
"50","L_S135","Lit","NoGoggles","Unfamiliar",3.195,3.62497812179657
"51","L_S135","Lit","NoGoggles","Unfamiliar",3.25,3.78443031963272
"52","L_S135","Lit","NoGoggles","Unfamiliar",3.305,3.94701335307243
"53","L_S135","Lit","NoGoggles","Unfamiliar",3.36,4.11192359793909
"54","L_S135","Lit","NoGoggles","Unfamiliar",3.415,4.28247481283441
"55","L_S135","Lit","NoGoggles","Unfamiliar",3.47,4.45062478275204
"56","L_S135","Lit","NoGoggles","Unfamiliar",3.525,4.60296540957726
"57","L_S135","Lit","NoGoggles","Unfamiliar",3.58,4.73176931679619
"58","L_S135","Lit","NoGoggles","Unfamiliar",3.635,4.83578505046083
"59","L_S135","Lit","NoGoggles","Unfamiliar",3.69,4.9103798161235
"60","L_S135","Lit","NoGoggles","Unfamiliar",3.745,4.95478952617173
"61","L_S135","Lit","NoGoggles","Unfamiliar",3.8,4.96588658260914
"62","L_S135","Lit","NoGoggles","Unfamiliar",3.855,4.94966676033663
"63","L_S135","Lit","NoGoggles","Unfamiliar",3.91,4.9132967369639
"64","L_S135","Lit","NoGoggles","Unfamiliar",3.965,4.85379555807215
"65","L_S135","Lit","NoGoggles","Unfamiliar",4.02,4.77023744192403
"66","L_S135","Lit","NoGoggles","Unfamiliar",4.075,4.67592616723952
"67","L_S135","Lit","NoGoggles","Unfamiliar",4.13,4.57198088838741
"68","L_S135","Lit","NoGoggles","Unfamiliar",4.185,4.4511307490985
"69","L_S135","Lit","NoGoggles","Unfamiliar",4.24,4.32520112606069
"70","L_S135","Lit","NoGoggles","Unfamiliar",4.295,4.20108117162583
"71","L_S135","Lit","NoGoggles","Unfamiliar",4.35,4.07554306034707
"72","L_S135","Lit","NoGoggles","Unfamiliar",4.405,3.9449878957486
"73","L_S135","Lit","NoGoggles","Unfamiliar",4.46,3.81045485983833
"74","L_S135","Lit","NoGoggles","Unfamiliar",4.515,3.68758893748583
"75","L_S135","Lit","NoGoggles","Unfamiliar",4.57,3.56749318940745
"76","L_S135","Lit","NoGoggles","Unfamiliar",4.625,3.43953389439611
"77","L_S135","Lit","NoGoggles","Unfamiliar",4.68,3.31475353912349
"78","L_S135","Lit","NoGoggles","Unfamiliar",4.735,3.19763630046753
"79","L_S135","Lit","NoGoggles","Unfamiliar",4.79,3.0871035062648
"80","L_S135","Lit","NoGoggles","Unfamiliar",4.845,2.97690298563889
"81","L_S135","Lit","NoGoggles","Unfamiliar",4.9,2.86871711769785
"82","L_S135","Lit","NoGoggles","Unfamiliar",4.955,2.76683201788509
"83","L_S135","Lit","NoGoggles","Unfamiliar",5.01,2.67503163117752
"84","L_S135","Lit","NoGoggles","Unfamiliar",5.065,2.59281819836601
"85","L_S135","Lit","NoGoggles","Unfamiliar",5.12,2.51827777629138
"86","L_S135","Lit","NoGoggles","Unfamiliar",5.175,2.46124159365894
"87","L_S135","Lit","NoGoggles","Unfamiliar",5.23,2.4255343435007
"88","L_S135","Lit","NoGoggles","Unfamiliar",5.285,2.41234162165962
"89","L_S135","Lit","NoGoggles","Unfamiliar",5.34,2.43018607141023
"90","L_S135","Lit","NoGoggles","Unfamiliar",5.395,2.48505794648539
"91","L_S135","Lit","NoGoggles","Unfamiliar",5.45,2.57661641308607
"92","L_S135","Lit","NoGoggles","Unfamiliar",5.505,2.70450169899982
"93","L_S135","Lit","NoGoggles","Unfamiliar",5.56,2.8766738948651
"94","L_S135","Lit","NoGoggles","Unfamiliar",5.615,3.08808593496297
"95","L_S135","Lit","NoGoggles","Unfamiliar",5.67,3.31929397545438
"96","L_S135","Lit","NoGoggles","Unfamiliar",5.725,3.56960759024189
"97","L_S135","Lit","NoGoggles","Unfamiliar",5.78,3.8287069179796
"98","L_S135","Lit","NoGoggles","Unfamiliar",5.835,4.0791174402147
"99","L_S135","Lit","NoGoggles","Unfamiliar",5.89,4.34014798537371
"100","L_S135","Lit","NoGoggles","Unfamiliar",5.945,4.60376548410484
"101","L_S136","Lit","NoGoggles","Unfamiliar",0.5,4.32958421338112
"102","L_S136","Lit","NoGoggles","Unfamiliar",0.555,4.27020481786635
"103","L_S136","Lit","NoGoggles","Unfamiliar",0.61,4.16282035689155
"104","L_S136","Lit","NoGoggles","Unfamiliar",0.665,4.01385774194195
"105","L_S136","Lit","NoGoggles","Unfamiliar",0.72,3.84714105617035
"106","L_S136","Lit","NoGoggles","Unfamiliar",0.775,3.6541546712167
"107","L_S136","Lit","NoGoggles","Unfamiliar",0.83,3.44664004166251
"108","L_S136","Lit","NoGoggles","Unfamiliar",0.885,3.24084813965965
"109","L_S136","Lit","NoGoggles","Unfamiliar",0.94,3.02132160574519
"110","L_S136","Lit","NoGoggles","Unfamiliar",0.995,2.78373989532749
"111","L_S136","Lit","NoGoggles","Unfamiliar",1.05,2.55233727975718
"112","L_S136","Lit","NoGoggles","Unfamiliar",1.105,2.32979870394878
"113","L_S136","Lit","NoGoggles","Unfamiliar",1.16,2.11128710070186
"114","L_S136","Lit","NoGoggles","Unfamiliar",1.215,1.88760965912898
"115","L_S136","Lit","NoGoggles","Unfamiliar",1.27,1.67549167882012
"116","L_S136","Lit","NoGoggles","Unfamiliar",1.325,1.47378008320606
