Comparison,t,z
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.429657826985116,0.5
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.445468667701802,0.555
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.452473090244432,0.61
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.454905105066221,0.665
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.454741316478838,0.72
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.447081397800941,0.775
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.427748997735096,0.83
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.39647340260301,0.885
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.356088636501183,0.94
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.302638863512273,0.995
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.239849681954904,1.05
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.1722367976908,1.105
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.0946419319985995,1.16
NoGogglesUnfamiliar-NoGogglesFamiliar,-0.0203978837091311,1.215
NoGogglesUnfamiliar-NoGogglesFamiliar,0.040888120417968,1.27
NoGogglesUnfamiliar-NoGogglesFamiliar,0.0924116438592592,1.325
NoGogglesUnfamiliar-NoGogglesFamiliar,0.133832195843128,1.38
NoGogglesUnfamiliar-NoGogglesFamiliar,0.166719741258503,1.435
NoGogglesUnfamiliar-NoGogglesFamiliar,0.186316643204524,1.49
NoGogglesUnfamiliar-NoGogglesFamiliar,0.192893513007061,1.545
NoGogglesUnfamiliar-NoGogglesFamiliar,0.195330588458149,1.6
NoGogglesUnfamiliar-NoGogglesFamiliar,0.197597272074603,1.655
NoGogglesUnfamiliar-NoGogglesFamiliar,0.191307169895761,1.71
NoGogglesUnfamiliar-NoGogglesFamiliar,0.183311741475323,1.765
NoGogglesUnfamiliar-NoGogglesFamiliar,0.180896716338421,1.82
NoGogglesUnfamiliar-NoGogglesFamiliar,0.176144084215772,1.875
NoGogglesUnfamiliar-NoGogglesFamiliar,0.165951618270822,1.93
NoGogglesUnfamiliar-NoGogglesFamiliar,0.159420859160069,1.985
NoGogglesUnfamiliar-NoGogglesFamiliar,0.155979870860599,2.04
NoGogglesUnfamiliar-NoGogglesFamiliar,0.150983684681043,2.095
NoGogglesUnfamiliar-NoGogglesFamiliar,0.147236230382164,2.15
NoGogglesUnfamiliar-NoGogglesFamiliar,0.146464201345697,2.205
NoGogglesUnfamiliar-NoGogglesFamiliar,0.150253352498269,2.26
NoGogglesUnfamiliar-NoGogglesFamiliar,0.168747447287021,2.315
NoGogglesUnfamiliar-NoGogglesFamiliar,0.25364510460656,2.37
NoGogglesUnfamiliar-NoGogglesFamiliar,0.496495686838952,2.425
NoGogglesUnfamiliar-NoGogglesFamiliar,0.575081977739023,2.48
NoGogglesUnfamiliar-NoGogglesFamiliar,0.543025749241677,2.535
NoGogglesUnfamiliar-NoGogglesFamiliar,0.527046712568135,2.59
NoGogglesUnfamiliar-NoGogglesFamiliar,0.528232160690323,2.645
NoGogglesUnfamiliar-NoGogglesFamiliar,0.541322045706025,2.7
NoGogglesUnfamiliar-NoGogglesFamiliar,0.559725149676395,2.755
NoGogglesUnfamiliar-NoGogglesFamiliar,0.58530789347571,2.81
NoGogglesUnfamiliar-NoGogglesFamiliar,0.619221602135131,2.865
NoGogglesUnfamiliar-NoGogglesFamiliar,0.654248502045083,2.92
NoGogglesUnfamiliar-NoGogglesFamiliar,0.693112598469715,2.975
NoGogglesUnfamiliar-NoGogglesFamiliar,0.734713372888225,3.03
NoGogglesUnfamiliar-NoGogglesFamiliar,0.773973803367492,3.085
NoGogglesUnfamiliar-NoGogglesFamiliar,0.82011778371774,3.14
NoGogglesUnfamiliar-NoGogglesFamiliar,0.863063015251798,3.195
NoGogglesUnfamiliar-NoGogglesFamiliar,0.908560824910209,3.25
NoGogglesUnfamiliar-NoGogglesFamiliar,0.960488532773224,3.305
NoGogglesUnfamiliar-NoGogglesFamiliar,1.00630815580747,3.36
NoGogglesUnfamiliar-NoGogglesFamiliar,1.04778816803734,3.415
NoGogglesUnfamiliar-NoGogglesFamiliar,1.08430710560028,3.47
