At t-value = 1.8159, p value = 0.05632
At t-value = 1.8088, p value = 0.05712
At t-value = 1.7691, p value = 0.05796
At t-value = 1.7394, p value = 0.05896
At t-value = 1.7099, p value = 0.06024
At t-value = 1.6571, p value = 0.06112
At t-value = 1.6469, p value = 0.0626
At t-value = 1.5688, p value = 0.06424
At t-value = 1.5641, p value = 0.06568
At t-value = 1.4787, p value = 0.06824
At t-value = 1.4588, p value = 0.0702
At t-value = 1.3947, p value = 0.07256
At t-value = 1.3479, p value = 0.07536
At t-value = 1.323, p value = 0.07756
At t-value = 1.2743, p value = 0.0798
At t-value = 1.248, p value = 0.08192
At t-value = 1.248, p value = 0.0846
At t-value = 1.2175, p value = 0.08716
At t-value = 1.1692, p value = 0.08952
At t-value = 1.1439, p value = 0.09208
At t-value = 1.1121, p value = 0.09492
At t-value = 1.0605, p value = 0.0976
At t-value = 1.0231, p value = 0.10096
