At t-value = 2.7951, p value = 0.00092
At t-value = 2.7924, p value = 0.00092
At t-value = 2.771, p value = 0.00092
At t-value = 2.7549, p value = 0.00092
At t-value = 2.7536, p value = 0.00092
At t-value = 2.7494, p value = 0.00088
At t-value = 2.7182, p value = 0.00088
At t-value = 2.7065, p value = 0.00088
At t-value = 2.7038, p value = 0.00092
At t-value = 2.6817, p value = 0.00092
At t-value = 2.6782, p value = 0.00092
At t-value = 2.6729, p value = 0.00088
At t-value = 2.6655, p value = 0.00108
At t-value = 2.6485, p value = 0.00108
At t-value = 2.589, p value = 0.00112
At t-value = 2.562, p value = 0.00104
At t-value = 2.5316, p value = 0.00108
At t-value = 2.484, p value = 0.00108
At t-value = 2.4531, p value = 0.00112
At t-value = 2.4498, p value = 0.00096
At t-value = 2.4398, p value = 0.00096
At t-value = 2.438, p value = 0.00104
At t-value = 2.4362, p value = 0.00108
At t-value = 2.4252, p value = 0.00108
At t-value = 2.4099, p value = 0.001
At t-value = 2.3916, p value = 0.001
At t-value = 2.3741, p value = 0.00088
At t-value = 2.3567, p value = 0.00088
At t-value = 2.3418, p value = 0.0008
At t-value = 2.3385, p value = 0.00084
At t-value = 2.3204, p value = 0.00064
At t-value = 2.2824, p value = 0.00064
At t-value = 2.271, p value = 0.00064
At t-value = 2.2676, p value = 0.00064
At t-value = 2.2661, p value = 0.00064
At t-value = 2.2588, p value = 0.00064
At t-value = 2.2547, p value = 0.00064
At t-value = 2.2526, p value = 0.0006
At t-value = 2.2501, p value = 0.0006
At t-value = 2.2461, p value = 0.00052
At t-value = 2.2402, p value = 0.00052
At t-value = 2.2364, p value = 0.00052
At t-value = 2.2337, p value = 0.00048
At t-value = 2.2315, p value = 0.00048
At t-value = 2.2289, p value = 0.0004
At t-value = 2.204, p value = 0.0004
At t-value = 2.2035, p value = 0.0004
At t-value = 2.1696, p value = 0.0004
At t-value = 2.163, p value = 0.0004
At t-value = 2.1612, p value = 0.0004
At t-value = 2.1586, p value = 0.0004
At t-value = 2.1475, p value = 0.00044
At t-value = 2.1464, p value = 0.00044
At t-value = 2.1394, p value = 0.00048
At t-value = 2.1228, p value = 0.00048
At t-value = 2.1062, p value = 0.00056
At t-value = 2.0404, p value = 0.00064
At t-value = 2.0385, p value = 0.00064
At t-value = 1.9799, p value = 0.00064
At t-value = 1.9299, p value = 0.00068
At t-value = 1.8966, p value = 0.00068
At t-value = 1.8796, p value = 0.00068
At t-value = 1.8213, p value = 0.00072
At t-value = 1.7567, p value = 0.00072
At t-value = 1.688, p value = 0.0008
At t-value = 1.6829, p value = 0.0008
At t-value = 1.6216, p value = 0.00084
At t-value = 1.5537, p value = 0.00084
At t-value = 1.4864, p value = 0.00088
At t-value = 1.4194, p value = 0.00092
At t-value = 1.3951, p value = 0.00096
At t-value = 1.3408, p value = 0.00104
At t-value = 1.2496, p value = 0.00108
At t-value = 1.1492, p value = 0.00116
At t-value = 1.0406, p value = 0.00116
At t-value = 1.0391, p value = 0.0012
At t-value = 0.92435, p value = 0.00152
At t-value = 0.81268, p value = 0.00172
At t-value = 0.70842, p value = 0.0018
At t-value = 0.65851, p value = 0.0018
At t-value = 0.62338, p value = 0.00196
At t-value = 0.55536, p value = 0.0022
At t-value = 0.49052, p value = 0.00248
At t-value = 0.42934, p value = 0.00312
At t-value = 0.37635, p value = 0.00344
At t-value = 0.35608, p value = 0.00344
At t-value = 0.34619, p value = 0.00388
At t-value = 0.34343, p value = 0.00476
At t-value = 0.28235, p value = 0.00492
