At t-value = 2.9521, p value = 0.00076
At t-value = 2.937, p value = 0.00076
At t-value = 2.912, p value = 0.00072
At t-value = 2.9107, p value = 0.00076
At t-value = 2.8713, p value = 0.00076
At t-value = 2.8543, p value = 0.00076
At t-value = 2.8099, p value = 0.00076
At t-value = 2.7964, p value = 0.00076
At t-value = 2.739, p value = 0.00076
At t-value = 2.7307, p value = 0.00076
At t-value = 2.6772, p value = 0.0008
At t-value = 2.648, p value = 0.0008
At t-value = 2.6154, p value = 0.00076
At t-value = 2.5685, p value = 0.00076
At t-value = 2.5512, p value = 0.00076
At t-value = 2.497, p value = 0.0008
At t-value = 2.4803, p value = 0.00076
At t-value = 2.4277, p value = 0.00084
At t-value = 2.4024, p value = 0.0008
At t-value = 2.356, p value = 0.00084
At t-value = 2.3085, p value = 0.0008
At t-value = 2.2879, p value = 0.00092
At t-value = 2.2188, p value = 0.00096
At t-value = 2.212, p value = 0.00104
At t-value = 2.1471, p value = 0.00104
At t-value = 2.1328, p value = 0.00108
At t-value = 2.0865, p value = 0.00108
At t-value = 2.0489, p value = 0.00112
At t-value = 2.0389, p value = 0.0012
At t-value = 1.9993, p value = 0.00124
At t-value = 1.9737, p value = 0.00132
At t-value = 1.9616, p value = 0.00136
At t-value = 1.9614, p value = 0.00136
At t-value = 1.9498, p value = 0.0014
At t-value = 1.936, p value = 0.00144
At t-value = 1.9244, p value = 0.0016
At t-value = 1.9048, p value = 0.00176
At t-value = 1.8704, p value = 0.00176
At t-value = 1.865, p value = 0.0018
At t-value = 1.8256, p value = 0.00196
At t-value = 1.7712, p value = 0.00212
At t-value = 1.759, p value = 0.00208
At t-value = 1.7037, p value = 0.00212
At t-value = 1.6539, p value = 0.0022
At t-value = 1.6318, p value = 0.00236
At t-value = 1.5614, p value = 0.00252
At t-value = 1.5447, p value = 0.00264
At t-value = 1.5106, p value = 0.00252
At t-value = 1.5032, p value = 0.00252
At t-value = 1.4989, p value = 0.00284
At t-value = 1.4897, p value = 0.00284
At t-value = 1.4646, p value = 0.00284
At t-value = 1.458, p value = 0.00284
At t-value = 1.4506, p value = 0.00288
At t-value = 1.4364, p value = 0.00296
At t-value = 1.4224, p value = 0.00296
At t-value = 1.4136, p value = 0.00316
At t-value = 1.4014, p value = 0.00316
At t-value = 1.3936, p value = 0.00316
At t-value = 1.3872, p value = 0.00356
At t-value = 1.3748, p value = 0.00356
At t-value = 1.3708, p value = 0.00572
At t-value = 1.333, p value = 0.00604
At t-value = 1.3007, p value = 0.0062
At t-value = 1.2348, p value = 0.0064
At t-value = 1.169, p value = 0.00664
At t-value = 1.1422, p value = 0.00696
At t-value = 1.0575, p value = 0.00748
At t-value = 1.0088, p value = 0.00784
At t-value = 0.97606, p value = 0.00812
At t-value = 0.89902, p value = 0.00856
At t-value = 0.82739, p value = 0.00908
At t-value = 0.82615, p value = 0.00928
At t-value = 0.75732, p value = 0.00952
At t-value = 0.68823, p value = 0.01016
At t-value = 0.63565, p value = 0.01072
At t-value = 0.62182, p value = 0.01144
At t-value = 0.55896, p value = 0.01216
At t-value = 0.49955, p value = 0.01292
At t-value = 0.4629, p value = 0.01344
At t-value = 0.44225, p value = 0.01408
At t-value = 0.39175, p value = 0.01452
At t-value = 0.38305, p value = 0.01552
At t-value = 0.32589, p value = 0.0162
At t-value = 0.27227, p value = 0.01696
At t-value = 0.21917, p value = 0.01732
At t-value = 0.21099, p value = 0.01732
At t-value = 0.17039, p value = 0.01824
At t-value = 0.16915, p value = 0.01824
At t-value = 0.14026, p value = 0.01824
At t-value = 0.13943, p value = 0.02224
