"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"1","S_S01","Strobe","Intermittent","Unfamiliar",0.5,6.56905694767323
"2","S_S01","Strobe","Intermittent","Unfamiliar",0.555,6.84947371175581
"3","S_S01","Strobe","Intermittent","Unfamiliar",0.61,7.09723426325845
"4","S_S01","Strobe","Intermittent","Unfamiliar",0.665,7.30569397924555
"5","S_S01","Strobe","Intermittent","Unfamiliar",0.72,7.51755657009897
"6","S_S01","Strobe","Intermittent","Unfamiliar",0.775,7.71520016644302
"7","S_S01","Strobe","Intermittent","Unfamiliar",0.83,7.89900025196064
"8","S_S01","Strobe","Intermittent","Unfamiliar",0.885,8.07672223512026
"9","S_S01","Strobe","Intermittent","Unfamiliar",0.94,8.24393462375207
"10","S_S01","Strobe","Intermittent","Unfamiliar",0.995,8.40188793664982
"11","S_S01","Strobe","Intermittent","Unfamiliar",1.05,8.52365621483781
"12","S_S01","Strobe","Intermittent","Unfamiliar",1.105,8.60435890439062
"13","S_S01","Strobe","Intermittent","Unfamiliar",1.16,8.64095083270319
"14","S_S01","Strobe","Intermittent","Unfamiliar",1.215,8.63440768935524
"15","S_S01","Strobe","Intermittent","Unfamiliar",1.27,8.58659183272828
"16","S_S01","Strobe","Intermittent","Unfamiliar",1.325,8.51028976420343
"17","S_S01","Strobe","Intermittent","Unfamiliar",1.38,8.40464977320496
"18","S_S01","Strobe","Intermittent","Unfamiliar",1.435,8.27682312336592
"19","S_S01","Strobe","Intermittent","Unfamiliar",1.49,8.1638456958455
"20","S_S01","Strobe","Intermittent","Unfamiliar",1.545,8.06906879851105
"21","S_S01","Strobe","Intermittent","Unfamiliar",1.6,7.99270240489888
"22","S_S01","Strobe","Intermittent","Unfamiliar",1.655,7.94199197717864
"23","S_S01","Strobe","Intermittent","Unfamiliar",1.71,7.90375587037253
"24","S_S01","Strobe","Intermittent","Unfamiliar",1.765,7.85368040266145
"25","S_S01","Strobe","Intermittent","Unfamiliar",1.82,7.75810501600911
"26","S_S01","Strobe","Intermittent","Unfamiliar",1.875,7.573371029063
"27","S_S01","Strobe","Intermittent","Unfamiliar",1.93,7.3053362172414
"28","S_S01","Strobe","Intermittent","Unfamiliar",1.985,6.97971129587008
"29","S_S01","Strobe","Intermittent","Unfamiliar",2.04,6.59396241301113
"30","S_S01","Strobe","Intermittent","Unfamiliar",2.095,6.20663021596166
"31","S_S01","Strobe","Intermittent","Unfamiliar",2.15,5.86717141944667
"32","S_S01","Strobe","Intermittent","Unfamiliar",2.205,5.56724644537179
"33","S_S01","Strobe","Intermittent","Unfamiliar",2.26,5.31443484376654
"34","S_S01","Strobe","Intermittent","Unfamiliar",2.315,5.14179445349639
"35","S_S01","Strobe","Intermittent","Unfamiliar",2.37,5.02987187418997
"36","S_S01","Strobe","Intermittent","Unfamiliar",2.425,4.98530925535773
"37","S_S01","Strobe","Intermittent","Unfamiliar",2.48,5.01655119584574
"38","S_S01","Strobe","Intermittent","Unfamiliar",2.535,5.10415930878783
"39","S_S01","Strobe","Intermittent","Unfamiliar",2.59,5.24122366941884
"40","S_S01","Strobe","Intermittent","Unfamiliar",2.645,5.40825557312619
"41","S_S01","Strobe","Intermittent","Unfamiliar",2.7,5.60131288166899
"42","S_S01","Strobe","Intermittent","Unfamiliar",2.755,5.78987018168428
"43","S_S01","Strobe","Intermittent","Unfamiliar",2.81,5.96493366601452
