Comparison,t,z
ContinuousUnfamiliar-ContinuousFamiliar,1.56418107961622,0.5
ContinuousUnfamiliar-ContinuousFamiliar,1.43946928844694,0.555
ContinuousUnfamiliar-ContinuousFamiliar,1.27769927756188,0.61
ContinuousUnfamiliar-ContinuousFamiliar,1.12128354651513,0.665
ContinuousUnfamiliar-ContinuousFamiliar,0.978719841188063,0.72
ContinuousUnfamiliar-ContinuousFamiliar,0.86533225774382,0.775
ContinuousUnfamiliar-ContinuousFamiliar,0.790803639368916,0.83
ContinuousUnfamiliar-ContinuousFamiliar,0.745128883396903,0.885
ContinuousUnfamiliar-ContinuousFamiliar,0.712553037259654,0.94
ContinuousUnfamiliar-ContinuousFamiliar,0.675428609272315,0.995
ContinuousUnfamiliar-ContinuousFamiliar,0.632833740543199,1.05
ContinuousUnfamiliar-ContinuousFamiliar,0.575611709949438,1.105
ContinuousUnfamiliar-ContinuousFamiliar,0.506481448673749,1.16
ContinuousUnfamiliar-ContinuousFamiliar,0.443105662002091,1.215
ContinuousUnfamiliar-ContinuousFamiliar,0.391323247756194,1.27
ContinuousUnfamiliar-ContinuousFamiliar,0.358190611959818,1.325
ContinuousUnfamiliar-ContinuousFamiliar,0.336296319010586,1.38
ContinuousUnfamiliar-ContinuousFamiliar,0.306856066043086,1.435
ContinuousUnfamiliar-ContinuousFamiliar,0.267540678132842,1.49
ContinuousUnfamiliar-ContinuousFamiliar,0.21673841705767,1.545
ContinuousUnfamiliar-ContinuousFamiliar,0.159241313032079,1.6
ContinuousUnfamiliar-ContinuousFamiliar,0.108823552383563,1.655
ContinuousUnfamiliar-ContinuousFamiliar,0.0745424133288917,1.71
ContinuousUnfamiliar-ContinuousFamiliar,0.0495533841996064,1.765
ContinuousUnfamiliar-ContinuousFamiliar,0.0341801555830026,1.82
ContinuousUnfamiliar-ContinuousFamiliar,0.0286205637901859,1.875
ContinuousUnfamiliar-ContinuousFamiliar,0.0218790557892717,1.93
