Comparison,t,z
FamiliarIntermittent-FamiliarContinuous,1.82257612534798,0.5
FamiliarIntermittent-FamiliarContinuous,1.66585954471017,0.555
FamiliarIntermittent-FamiliarContinuous,1.44149427296318,0.61
FamiliarIntermittent-FamiliarContinuous,1.18914769987019,0.665
FamiliarIntermittent-FamiliarContinuous,0.957829598313779,0.72
FamiliarIntermittent-FamiliarContinuous,0.763791136794848,0.775
FamiliarIntermittent-FamiliarContinuous,0.629561879841952,0.83
FamiliarIntermittent-FamiliarContinuous,0.554203003281076,0.885
FamiliarIntermittent-FamiliarContinuous,0.503671025636785,0.94
FamiliarIntermittent-FamiliarContinuous,0.44721470794038,0.995
FamiliarIntermittent-FamiliarContinuous,0.38166281387268,1.05
FamiliarIntermittent-FamiliarContinuous,0.311818538235793,1.105
FamiliarIntermittent-FamiliarContinuous,0.245466002842842,1.16
FamiliarIntermittent-FamiliarContinuous,0.18576563570525,1.215
FamiliarIntermittent-FamiliarContinuous,0.137049876215132,1.27
FamiliarIntermittent-FamiliarContinuous,0.10659233686151,1.325
FamiliarIntermittent-FamiliarContinuous,0.0895436216325826,1.38
FamiliarIntermittent-FamiliarContinuous,0.0642415042379014,1.435
FamiliarIntermittent-FamiliarContinuous,0.00509218161009025,1.49
FamiliarIntermittent-FamiliarContinuous,-0.0859445844795404,1.545
FamiliarIntermittent-FamiliarContinuous,-0.185256988056072,1.6
FamiliarIntermittent-FamiliarContinuous,-0.272230110583113,1.655
FamiliarIntermittent-FamiliarContinuous,-0.337238024026253,1.71
FamiliarIntermittent-FamiliarContinuous,-0.377065219806168,1.765
FamiliarIntermittent-FamiliarContinuous,-0.388158530858018,1.82
FamiliarIntermittent-FamiliarContinuous,-0.375861840558086,1.875
FamiliarIntermittent-FamiliarContinuous,-0.358922094153065,1.93
FamiliarIntermittent-FamiliarContinuous,-0.426636896543887,1.985
FamiliarIntermittent-FamiliarContinuous,-0.529330322613387,2.04
FamiliarIntermittent-FamiliarContinuous,-0.606515289729743,2.095
FamiliarIntermittent-FamiliarContinuous,-0.669012412463661,2.15
FamiliarIntermittent-FamiliarContinuous,-0.714984806427791,2.205
FamiliarIntermittent-FamiliarContinuous,-0.748472082454919,2.26
FamiliarIntermittent-FamiliarContinuous,-0.776189136579921,2.315
FamiliarIntermittent-FamiliarContinuous,-0.797703625078911,2.37
FamiliarIntermittent-FamiliarContinuous,-0.819987624196782,2.425
FamiliarIntermittent-FamiliarContinuous,-0.849101797493566,2.48
FamiliarIntermittent-FamiliarContinuous,-0.882389267239841,2.535
FamiliarIntermittent-FamiliarContinuous,-0.917148977700612,2.59
FamiliarIntermittent-FamiliarContinuous,-0.935853897742529,2.645
FamiliarIntermittent-FamiliarContinuous,-0.933908164816185,2.7
FamiliarIntermittent-FamiliarContinuous,-0.90739025287339,2.755
FamiliarIntermittent-FamiliarContinuous,-0.859372875308409,2.81
FamiliarIntermittent-FamiliarContinuous,-0.8080785670807,2.865
FamiliarIntermittent-FamiliarContinuous,-0.754551918323474,2.92
FamiliarIntermittent-FamiliarContinuous,-0.698733836734006,2.975
FamiliarIntermittent-FamiliarContinuous,-0.650372413096549,3.03
FamiliarIntermittent-FamiliarContinuous,-0.605797428467465,3.085
FamiliarIntermittent-FamiliarContinuous,-0.556319480508224,3.14
FamiliarIntermittent-FamiliarContinuous,-0.503858503634166,3.195
FamiliarIntermittent-FamiliarContinuous,-0.449914502303588,3.25
FamiliarIntermittent-FamiliarContinuous,-0.393250133464508,3.305
FamiliarIntermittent-FamiliarContinuous,-0.335418027443556,3.36
FamiliarIntermittent-FamiliarContinuous,-0.274454416014038,3.415
FamiliarIntermittent-FamiliarContinuous,-0.210440979854302,3.47
FamiliarIntermittent-FamiliarContinuous,-0.150972458142459,3.525
FamiliarIntermittent-FamiliarContinuous,-0.107075077442,3.58
FamiliarIntermittent-FamiliarContinuous,-0.046805086238635,3.635
FamiliarIntermittent-FamiliarContinuous,0.0496228044977378,3.69
FamiliarIntermittent-FamiliarContinuous,0.130007424171705,3.745
FamiliarIntermittent-FamiliarContinuous,0.151855136076322,3.8
FamiliarIntermittent-FamiliarContinuous,0.155458632872101,3.855
FamiliarIntermittent-FamiliarContinuous,0.152942539182675,3.91
FamiliarIntermittent-FamiliarContinuous,0.14347933740172,3.965
FamiliarIntermittent-FamiliarContinuous,0.136900657214794,4.02
FamiliarIntermittent-FamiliarContinuous,0.139804772068774,4.075
FamiliarIntermittent-FamiliarContinuous,0.143921064544038,4.13
FamiliarIntermittent-FamiliarContinuous,0.151312484741982,4.185
FamiliarIntermittent-FamiliarContinuous,0.157750878633757,4.24
FamiliarIntermittent-FamiliarContinuous,0.151558944029074,4.295
FamiliarIntermittent-FamiliarContinuous,0.140686925056743,4.35
FamiliarIntermittent-FamiliarContinuous,0.126115215286785,4.405
FamiliarIntermittent-FamiliarContinuous,0.115036824668258,4.46
FamiliarIntermittent-FamiliarContinuous,0.115553489583492,4.515
FamiliarIntermittent-FamiliarContinuous,0.129050192024456,4.57
FamiliarIntermittent-FamiliarContinuous,0.134794965457818,4.625
FamiliarIntermittent-FamiliarContinuous,0.117555524284484,4.68
FamiliarIntermittent-FamiliarContinuous,0.0939953553924788,4.735
FamiliarIntermittent-FamiliarContinuous,0.0743362913480437,4.79
FamiliarIntermittent-FamiliarContinuous,0.0583114086700793,4.845
FamiliarIntermittent-FamiliarContinuous,0.0450564384968419,4.9
FamiliarIntermittent-FamiliarContinuous,0.0347102928694294,4.955
FamiliarIntermittent-FamiliarContinuous,0.0304179705277926,5.01
FamiliarIntermittent-FamiliarContinuous,0.0187321625679779,5.065
FamiliarIntermittent-FamiliarContinuous,-0.00315256102504557,5.12
FamiliarIntermittent-FamiliarContinuous,-0.00795301962637323,5.175
FamiliarIntermittent-FamiliarContinuous,0.0163681148239054,5.23
FamiliarIntermittent-FamiliarContinuous,0.0660529762413082,5.285
FamiliarIntermittent-FamiliarContinuous,0.138575249357985,5.34
FamiliarIntermittent-FamiliarContinuous,0.214220240581724,5.395
FamiliarIntermittent-FamiliarContinuous,0.262229559561645,5.45
FamiliarIntermittent-FamiliarContinuous,0.311708518430763,5.505
FamiliarIntermittent-FamiliarContinuous,0.382479767715901,5.56
FamiliarIntermittent-FamiliarContinuous,0.431297884082773,5.615
FamiliarIntermittent-FamiliarContinuous,0.425497572260049,5.67
FamiliarIntermittent-FamiliarContinuous,0.501698083787705,5.725
FamiliarIntermittent-FamiliarContinuous,0.516414363357632,5.78
FamiliarIntermittent-FamiliarContinuous,0.414517519123237,5.835
FamiliarIntermittent-FamiliarContinuous,0.754944416043027,5.89
FamiliarIntermittent-FamiliarContinuous,0.838617733589438,5.945
