Comparison,t,z
IntermittentUnfamiliar-IntermittentFamiliar,-0.248426427198856,0.5
IntermittentUnfamiliar-IntermittentFamiliar,-0.035896349132322,0.555
IntermittentUnfamiliar-IntermittentFamiliar,0.282350476689776,0.61
IntermittentUnfamiliar-IntermittentFamiliar,0.658509502723541,0.665
IntermittentUnfamiliar-IntermittentFamiliar,1.04057662216756,0.72
IntermittentUnfamiliar-IntermittentFamiliar,1.39513706094235,0.775
IntermittentUnfamiliar-IntermittentFamiliar,1.68289259561093,0.83
IntermittentUnfamiliar-IntermittentFamiliar,1.89659586224449,0.885
IntermittentUnfamiliar-IntermittentFamiliar,2.03851553865029,0.94
IntermittentUnfamiliar-IntermittentFamiliar,2.12275641484558,0.995
IntermittentUnfamiliar-IntermittentFamiliar,2.16116120604712,1.05
IntermittentUnfamiliar-IntermittentFamiliar,2.16296991377965,1.105
IntermittentUnfamiliar-IntermittentFamiliar,2.14641014414047,1.16
IntermittentUnfamiliar-IntermittentFamiliar,2.13940142603415,1.215
IntermittentUnfamiliar-IntermittentFamiliar,2.1474786468629,1.27
IntermittentUnfamiliar-IntermittentFamiliar,2.16958308518001,1.325
IntermittentUnfamiliar-IntermittentFamiliar,2.20403451173529,1.38
IntermittentUnfamiliar-IntermittentFamiliar,2.25255862653412,1.435
IntermittentUnfamiliar-IntermittentFamiliar,2.33854014971259,1.49
IntermittentUnfamiliar-IntermittentFamiliar,2.44977686960106,1.545
IntermittentUnfamiliar-IntermittentFamiliar,2.56195426817447,1.6
IntermittentUnfamiliar-IntermittentFamiliar,2.67824226486243,1.655
IntermittentUnfamiliar-IntermittentFamiliar,2.79241281982525,1.71
IntermittentUnfamiliar-IntermittentFamiliar,2.88850213075484,1.765
IntermittentUnfamiliar-IntermittentFamiliar,2.95755812393424,1.82
IntermittentUnfamiliar-IntermittentFamiliar,2.99824179407343,1.875
IntermittentUnfamiliar-IntermittentFamiliar,3.00241731730082,1.93
IntermittentUnfamiliar-IntermittentFamiliar,3.01896169641165,1.985
IntermittentUnfamiliar-IntermittentFamiliar,2.99937217827081,2.04
IntermittentUnfamiliar-IntermittentFamiliar,2.94502396052575,2.095
IntermittentUnfamiliar-IntermittentFamiliar,2.89189823444586,2.15
IntermittentUnfamiliar-IntermittentFamiliar,2.84264794791777,2.205
IntermittentUnfamiliar-IntermittentFamiliar,2.79513434072246,2.26
IntermittentUnfamiliar-IntermittentFamiliar,2.74944989166349,2.315
IntermittentUnfamiliar-IntermittentFamiliar,2.70376092842443,2.37
IntermittentUnfamiliar-IntermittentFamiliar,2.67293892721831,2.425
IntermittentUnfamiliar-IntermittentFamiliar,2.66554638837454,2.48
IntermittentUnfamiliar-IntermittentFamiliar,2.6817091060507,2.535
IntermittentUnfamiliar-IntermittentFamiliar,2.71823712108402,2.59
IntermittentUnfamiliar-IntermittentFamiliar,2.75358463452987,2.645
IntermittentUnfamiliar-IntermittentFamiliar,2.77103842256703,2.7
IntermittentUnfamiliar-IntermittentFamiliar,2.75485367118928,2.755
IntermittentUnfamiliar-IntermittentFamiliar,2.70647095646841,2.81
IntermittentUnfamiliar-IntermittentFamiliar,2.64852507422611,2.865
IntermittentUnfamiliar-IntermittentFamiliar,2.589013296205,2.92
IntermittentUnfamiliar-IntermittentFamiliar,2.5315907193848,2.975
IntermittentUnfamiliar-IntermittentFamiliar,2.48395299969958,3.03
IntermittentUnfamiliar-IntermittentFamiliar,2.45311443088826,3.085
IntermittentUnfamiliar-IntermittentFamiliar,2.43976499798525,3.14
IntermittentUnfamiliar-IntermittentFamiliar,2.43799794373317,3.195
IntermittentUnfamiliar-IntermittentFamiliar,2.43622460635602,3.25
IntermittentUnfamiliar-IntermittentFamiliar,2.42518935093489,3.305
IntermittentUnfamiliar-IntermittentFamiliar,2.40987814812023,3.36
IntermittentUnfamiliar-IntermittentFamiliar,2.39158458612152,3.415
IntermittentUnfamiliar-IntermittentFamiliar,2.37410809980243,3.47
IntermittentUnfamiliar-IntermittentFamiliar,2.35674217230221,3.525
IntermittentUnfamiliar-IntermittentFamiliar,2.34184185838087,3.58
IntermittentUnfamiliar-IntermittentFamiliar,2.32044374173847,3.635
IntermittentUnfamiliar-IntermittentFamiliar,2.28241981675494,3.69
IntermittentUnfamiliar-IntermittentFamiliar,2.24613114109412,3.745
IntermittentUnfamiliar-IntermittentFamiliar,2.23372266806803,3.8
IntermittentUnfamiliar-IntermittentFamiliar,2.22894135799978,3.855
IntermittentUnfamiliar-IntermittentFamiliar,2.23146054917526,3.91
IntermittentUnfamiliar-IntermittentFamiliar,2.24021515398857,3.965
IntermittentUnfamiliar-IntermittentFamiliar,2.25008745788825,4.02
IntermittentUnfamiliar-IntermittentFamiliar,2.25883696566067,4.075
IntermittentUnfamiliar-IntermittentFamiliar,2.26606929108612,4.13
IntermittentUnfamiliar-IntermittentFamiliar,2.2709778109108,4.185
IntermittentUnfamiliar-IntermittentFamiliar,2.26763417092693,4.24
IntermittentUnfamiliar-IntermittentFamiliar,2.25469739007129,4.295
IntermittentUnfamiliar-IntermittentFamiliar,2.23642931256805,4.35
