Comparison,t,z
UnfamiliarIntermittent-UnfamiliarContinuous,0.391746074976015,0.5
UnfamiliarIntermittent-UnfamiliarContinuous,0.462898997535519,0.555
UnfamiliarIntermittent-UnfamiliarContinuous,0.635653286015274,0.61
UnfamiliarIntermittent-UnfamiliarContinuous,0.826145663647826,0.665
UnfamiliarIntermittent-UnfamiliarContinuous,1.00877118250649,0.72
UnfamiliarIntermittent-UnfamiliarContinuous,1.16902988201852,0.775
UnfamiliarIntermittent-UnfamiliarContinuous,1.30072132676513,0.83
UnfamiliarIntermittent-UnfamiliarContinuous,1.40140416297871,0.885
UnfamiliarIntermittent-UnfamiliarContinuous,1.46461362506447,0.94
UnfamiliarIntermittent-UnfamiliarContinuous,1.50317699785779,0.995
UnfamiliarIntermittent-UnfamiliarContinuous,1.51056404495949,1.05
UnfamiliarIntermittent-UnfamiliarContinuous,1.48965241064164,1.105
UnfamiliarIntermittent-UnfamiliarContinuous,1.45804326309301,1.16
UnfamiliarIntermittent-UnfamiliarContinuous,1.42237402242848,1.215
UnfamiliarIntermittent-UnfamiliarContinuous,1.39359139453851,1.27
UnfamiliarIntermittent-UnfamiliarContinuous,1.37484623187099,1.325
UnfamiliarIntermittent-UnfamiliarContinuous,1.3707885688367,1.38
UnfamiliarIntermittent-UnfamiliarContinuous,1.38717502956098,1.435
UnfamiliarIntermittent-UnfamiliarContinuous,1.41358241626736,1.49
UnfamiliarIntermittent-UnfamiliarContinuous,1.45060635204183,1.545
UnfamiliarIntermittent-UnfamiliarContinuous,1.49891397605677,1.6
UnfamiliarIntermittent-UnfamiliarContinuous,1.56135984829732,1.655
UnfamiliarIntermittent-UnfamiliarContinuous,1.63183075992559,1.71
UnfamiliarIntermittent-UnfamiliarContinuous,1.70365809620081,1.765
UnfamiliarIntermittent-UnfamiliarContinuous,1.77115494378104,1.82
UnfamiliarIntermittent-UnfamiliarContinuous,1.82563520325736,1.875
UnfamiliarIntermittent-UnfamiliarContinuous,1.87038152841348,1.93
UnfamiliarIntermittent-UnfamiliarContinuous,1.90476212049211,1.985
UnfamiliarIntermittent-UnfamiliarContinuous,1.92436594891968,2.04
UnfamiliarIntermittent-UnfamiliarContinuous,1.93601129745657,2.095
