At t-value = 1.8159, p value = 0.057
At t-value = 1.8088, p value = 0.05744
At t-value = 1.7691, p value = 0.0584
At t-value = 1.7394, p value = 0.05968
At t-value = 1.7099, p value = 0.06064
At t-value = 1.6571, p value = 0.06212
At t-value = 1.6469, p value = 0.06388
At t-value = 1.5688, p value = 0.06548
At t-value = 1.5641, p value = 0.06748
At t-value = 1.4787, p value = 0.06956
At t-value = 1.4588, p value = 0.07156
At t-value = 1.3947, p value = 0.074
At t-value = 1.3479, p value = 0.07712
At t-value = 1.323, p value = 0.08008
At t-value = 1.2743, p value = 0.08232
At t-value = 1.248, p value = 0.08528
At t-value = 1.248, p value = 0.08812
At t-value = 1.2175, p value = 0.09044
At t-value = 1.1692, p value = 0.0932
At t-value = 1.1439, p value = 0.0956
At t-value = 1.1121, p value = 0.09824
At t-value = 1.0605, p value = 0.1018
