At t-value = 3.4145, p value = 0.00012
At t-value = 3.3995, p value = 4e-05
At t-value = 3.3488, p value = 0.00012
At t-value = 3.3315, p value = 8e-05
At t-value = 3.28, p value = 0.00016
At t-value = 3.2514, p value = 8e-05
At t-value = 3.2069, p value = 0.0002
At t-value = 3.1616, p value = 0.00012
At t-value = 3.1201, p value = 0.00024
At t-value = 3.0722, p value = 0.00016
At t-value = 3.0171, p value = 0.00024
At t-value = 2.9682, p value = 0.00016
At t-value = 2.9003, p value = 0.00024
At t-value = 2.849, p value = 0.00016
At t-value = 2.7695, p value = 0.00024
At t-value = 2.7271, p value = 0.0002
At t-value = 2.6443, p value = 0.00032
At t-value = 2.6073, p value = 0.00028
At t-value = 2.5613, p value = 0.00036
At t-value = 2.5099, p value = 0.00044
At t-value = 2.4979, p value = 0.00044
At t-value = 2.4545, p value = 0.00048
At t-value = 2.4033, p value = 0.00048
At t-value = 2.3816, p value = 0.00048
At t-value = 2.3233, p value = 0.00052
At t-value = 2.2969, p value = 0.00052
At t-value = 2.2694, p value = 0.00056
At t-value = 2.2456, p value = 0.0006
At t-value = 2.2224, p value = 0.00052
At t-value = 2.2101, p value = 0.00072
At t-value = 2.1853, p value = 0.00064
At t-value = 2.1415, p value = 0.00068
At t-value = 2.1229, p value = 0.00072
At t-value = 2.0943, p value = 0.00068
At t-value = 2.0458, p value = 0.00076
At t-value = 2.0412, p value = 0.00072
At t-value = 1.9979, p value = 0.00088
At t-value = 1.9688, p value = 0.00092
At t-value = 1.9471, p value = 0.001
At t-value = 1.9099, p value = 0.00112
At t-value = 1.8884, p value = 0.00116
At t-value = 1.8679, p value = 0.00124
At t-value = 1.8366, p value = 0.00136
At t-value = 1.8308, p value = 0.00136
At t-value = 1.7903, p value = 0.00144
At t-value = 1.7836, p value = 0.0016
At t-value = 1.7257, p value = 0.0016
At t-value = 1.7179, p value = 0.0016
At t-value = 1.6391, p value = 0.00172
At t-value = 1.6272, p value = 0.00172
At t-value = 1.5351, p value = 0.00188
At t-value = 1.5316, p value = 0.002
At t-value = 1.443, p value = 0.00216
At t-value = 1.4158, p value = 0.00228
At t-value = 1.3671, p value = 0.00252
At t-value = 1.3077, p value = 0.00264
At t-value = 1.2933, p value = 0.00276
At t-value = 1.2632, p value = 0.00284
At t-value = 1.2272, p value = 0.00292
At t-value = 1.1842, p value = 0.00308
At t-value = 1.1819, p value = 0.00324
At t-value = 1.132, p value = 0.00356
At t-value = 1.0882, p value = 0.00372
At t-value = 1.088, p value = 0.00392
At t-value = 1.0564, p value = 0.0042
At t-value = 1.0279, p value = 0.00424
At t-value = 1.0097, p value = 0.00452
At t-value = 0.97928, p value = 0.00492
At t-value = 0.94266, p value = 0.00528
At t-value = 0.89929, p value = 0.00552
At t-value = 0.87901, p value = 0.00572
At t-value = 0.81621, p value = 0.00604
At t-value = 0.79194, p value = 0.00636
At t-value = 0.76115, p value = 0.00688
At t-value = 0.71717, p value = 0.00732
At t-value = 0.68499, p value = 0.00756
At t-value = 0.66468, p value = 0.00784
At t-value = 0.66326, p value = 0.00876
At t-value = 0.64645, p value = 0.00924
At t-value = 0.63692, p value = 0.00968
At t-value = 0.63219, p value = 0.01012
At t-value = 0.61454, p value = 0.01052
At t-value = 0.58486, p value = 0.01108
At t-value = 0.54871, p value = 0.01164
At t-value = 0.50291, p value = 0.01208
At t-value = 0.45233, p value = 0.0128
At t-value = 0.40038, p value = 0.01352
At t-value = 0.35597, p value = 0.0142
At t-value = 0.31742, p value = 0.01476
At t-value = 0.30732, p value = 0.0144
At t-value = 0.2904, p value = 0.01628
