Comparison,t,z
ContinuousFamiliar-ContinuousUnfamiliar,-1.11120519582339,0.5
ContinuousFamiliar-ContinuousUnfamiliar,-1.00438344010668,0.555
ContinuousFamiliar-ContinuousUnfamiliar,-0.880428113845116,0.61
ContinuousFamiliar-ContinuousUnfamiliar,-0.755210896981765,0.665
ContinuousFamiliar-ContinuousUnfamiliar,-0.630457900275302,0.72
ContinuousFamiliar-ContinuousUnfamiliar,-0.518619103674509,0.775
ContinuousFamiliar-ContinuousUnfamiliar,-0.432955009632873,0.83
ContinuousFamiliar-ContinuousUnfamiliar,-0.371138808035992,0.885
ContinuousFamiliar-ContinuousUnfamiliar,-0.322567721406554,0.94
ContinuousFamiliar-ContinuousUnfamiliar,-0.268061514200116,0.995
ContinuousFamiliar-ContinuousUnfamiliar,-0.212969083220687,1.05
ContinuousFamiliar-ContinuousUnfamiliar,-0.159466477818304,1.105
ContinuousFamiliar-ContinuousUnfamiliar,-0.095226725066115,1.16
ContinuousFamiliar-ContinuousUnfamiliar,-0.0291000358753559,1.215
ContinuousFamiliar-ContinuousUnfamiliar,0.0316429022042167,1.27
ContinuousFamiliar-ContinuousUnfamiliar,0.0849506215705559,1.325
ContinuousFamiliar-ContinuousUnfamiliar,0.137269831913901,1.38
ContinuousFamiliar-ContinuousUnfamiliar,0.202403199727254,1.435
ContinuousFamiliar-ContinuousUnfamiliar,0.275874601125845,1.49
ContinuousFamiliar-ContinuousUnfamiliar,0.35000472201303,1.545
ContinuousFamiliar-ContinuousUnfamiliar,0.421511529774825,1.6
ContinuousFamiliar-ContinuousUnfamiliar,0.487681637180418,1.655
ContinuousFamiliar-ContinuousUnfamiliar,0.550457091456465,1.71
ContinuousFamiliar-ContinuousUnfamiliar,0.616570366469114,1.765
ContinuousFamiliar-ContinuousUnfamiliar,0.683135379744074,1.82
ContinuousFamiliar-ContinuousUnfamiliar,0.741117859942216,1.875
ContinuousFamiliar-ContinuousUnfamiliar,0.789824707118248,1.93
ContinuousFamiliar-ContinuousUnfamiliar,0.829661084769111,1.985
