Comparison,t,z
ContinuousUnfamiliar-ContinuousFamiliar,1.11120519582339,0.5
ContinuousUnfamiliar-ContinuousFamiliar,1.00438344010668,0.555
ContinuousUnfamiliar-ContinuousFamiliar,0.880428113845116,0.61
ContinuousUnfamiliar-ContinuousFamiliar,0.755210896981765,0.665
ContinuousUnfamiliar-ContinuousFamiliar,0.630457900275302,0.72
ContinuousUnfamiliar-ContinuousFamiliar,0.518619103674509,0.775
ContinuousUnfamiliar-ContinuousFamiliar,0.432955009632873,0.83
ContinuousUnfamiliar-ContinuousFamiliar,0.371138808035992,0.885
ContinuousUnfamiliar-ContinuousFamiliar,0.322567721406554,0.94
ContinuousUnfamiliar-ContinuousFamiliar,0.268061514200116,0.995
ContinuousUnfamiliar-ContinuousFamiliar,0.212969083220687,1.05
ContinuousUnfamiliar-ContinuousFamiliar,0.159466477818304,1.105
ContinuousUnfamiliar-ContinuousFamiliar,0.095226725066115,1.16
ContinuousUnfamiliar-ContinuousFamiliar,0.0291000358753559,1.215
ContinuousUnfamiliar-ContinuousFamiliar,-0.0316429022042167,1.27
ContinuousUnfamiliar-ContinuousFamiliar,-0.0849506215705559,1.325
ContinuousUnfamiliar-ContinuousFamiliar,-0.137269831913901,1.38
ContinuousUnfamiliar-ContinuousFamiliar,-0.202403199727254,1.435
ContinuousUnfamiliar-ContinuousFamiliar,-0.275874601125845,1.49
ContinuousUnfamiliar-ContinuousFamiliar,-0.35000472201303,1.545
ContinuousUnfamiliar-ContinuousFamiliar,-0.421511529774825,1.6
ContinuousUnfamiliar-ContinuousFamiliar,-0.487681637180418,1.655
ContinuousUnfamiliar-ContinuousFamiliar,-0.550457091456465,1.71
ContinuousUnfamiliar-ContinuousFamiliar,-0.616570366469114,1.765
ContinuousUnfamiliar-ContinuousFamiliar,-0.683135379744074,1.82
ContinuousUnfamiliar-ContinuousFamiliar,-0.741117859942216,1.875
ContinuousUnfamiliar-ContinuousFamiliar,-0.789824707118248,1.93
ContinuousUnfamiliar-ContinuousFamiliar,-0.829661084769111,1.985
ContinuousUnfamiliar-ContinuousFamiliar,-0.859152089798521,2.04
ContinuousUnfamiliar-ContinuousFamiliar,-0.881823453876865,2.095
ContinuousUnfamiliar-ContinuousFamiliar,-0.914165463337788,2.15
ContinuousUnfamiliar-ContinuousFamiliar,-0.951612519536008,2.205
ContinuousUnfamiliar-ContinuousFamiliar,-0.982479292082836,2.26
ContinuousUnfamiliar-ContinuousFamiliar,-1.01704614715154,2.315
ContinuousUnfamiliar-ContinuousFamiliar,-1.06054824372295,2.37
ContinuousUnfamiliar-ContinuousFamiliar,-1.1120533241926,2.425
ContinuousUnfamiliar-ContinuousFamiliar,-1.16924232636361,2.48
ContinuousUnfamiliar-ContinuousFamiliar,-1.21749319548924,2.535
ContinuousUnfamiliar-ContinuousFamiliar,-1.24803388580488,2.59
ContinuousUnfamiliar-ContinuousFamiliar,-1.274264756143,2.645
ContinuousUnfamiliar-ContinuousFamiliar,-1.32303041296124,2.7
ContinuousUnfamiliar-ContinuousFamiliar,-1.39472690296096,2.755
ContinuousUnfamiliar-ContinuousFamiliar,-1.47868701079971,2.81
ContinuousUnfamiliar-ContinuousFamiliar,-1.56879532591567,2.865
ContinuousUnfamiliar-ContinuousFamiliar,-1.65710284713781,2.92
ContinuousUnfamiliar-ContinuousFamiliar,-1.73936226159194,2.975
ContinuousUnfamiliar-ContinuousFamiliar,-1.80881379494646,3.03
ContinuousUnfamiliar-ContinuousFamiliar,-1.85494788935937,3.085
ContinuousUnfamiliar-ContinuousFamiliar,-1.87803761074634,3.14
ContinuousUnfamiliar-ContinuousFamiliar,-1.89449365301793,3.195
ContinuousUnfamiliar-ContinuousFamiliar,-1.90312542129285,3.25
ContinuousUnfamiliar-ContinuousFamiliar,-1.90703130610854,3.305
ContinuousUnfamiliar-ContinuousFamiliar,-1.90787764097271,3.36
ContinuousUnfamiliar-ContinuousFamiliar,-1.89933010769421,3.415
ContinuousUnfamiliar-ContinuousFamiliar,-1.88462214224288,3.47
ContinuousUnfamiliar-ContinuousFamiliar,-1.85418077817238,3.525
ContinuousUnfamiliar-ContinuousFamiliar,-1.81593671811406,3.58
ContinuousUnfamiliar-ContinuousFamiliar,-1.76913166083779,3.635
ContinuousUnfamiliar-ContinuousFamiliar,-1.70986513689354,3.69
ContinuousUnfamiliar-ContinuousFamiliar,-1.64687674851092,3.745
ContinuousUnfamiliar-ContinuousFamiliar,-1.56414842798772,3.8
ContinuousUnfamiliar-ContinuousFamiliar,-1.45880838310075,3.855
ContinuousUnfamiliar-ContinuousFamiliar,-1.34794238278955,3.91
ContinuousUnfamiliar-ContinuousFamiliar,-1.24798834025055,3.965
ContinuousUnfamiliar-ContinuousFamiliar,-1.14388639409651,4.02
ContinuousUnfamiliar-ContinuousFamiliar,-1.02313248721936,4.075
ContinuousUnfamiliar-ContinuousFamiliar,-0.892841919444187,4.13
ContinuousUnfamiliar-ContinuousFamiliar,-0.752168999244065,4.185
ContinuousUnfamiliar-ContinuousFamiliar,-0.609765339244816,4.24
ContinuousUnfamiliar-ContinuousFamiliar,-0.491019722828512,4.295
ContinuousUnfamiliar-ContinuousFamiliar,-0.425499979039636,4.35
ContinuousUnfamiliar-ContinuousFamiliar,-0.413480107876831,4.405
ContinuousUnfamiliar-ContinuousFamiliar,-0.413121616265517,4.46
ContinuousUnfamiliar-ContinuousFamiliar,-0.395103257215799,4.515
ContinuousUnfamiliar-ContinuousFamiliar,-0.365183955182503,4.57
ContinuousUnfamiliar-ContinuousFamiliar,-0.331815884072637,4.625
ContinuousUnfamiliar-ContinuousFamiliar,-0.3026403153337,4.68
ContinuousUnfamiliar-ContinuousFamiliar,-0.287854230638069,4.735
ContinuousUnfamiliar-ContinuousFamiliar,-0.294918547609864,4.79
ContinuousUnfamiliar-ContinuousFamiliar,-0.323732629780116,4.845
