Comparison,t,z
FamiliarIntermittent-FamiliarContinuous,2.11024945738687,0.5
FamiliarIntermittent-FamiliarContinuous,1.96271368405287,0.555
FamiliarIntermittent-FamiliarContinuous,1.74008572875157,0.61
FamiliarIntermittent-FamiliarContinuous,1.48215637488786,0.665
FamiliarIntermittent-FamiliarContinuous,1.24056333085137,0.72
FamiliarIntermittent-FamiliarContinuous,1.03028499052778,0.775
FamiliarIntermittent-FamiliarContinuous,0.867932878742048,0.83
FamiliarIntermittent-FamiliarContinuous,0.758274268597754,0.885
FamiliarIntermittent-FamiliarContinuous,0.674529132282876,0.94
FamiliarIntermittent-FamiliarContinuous,0.585556732323144,0.995
FamiliarIntermittent-FamiliarContinuous,0.493236368308756,1.05
FamiliarIntermittent-FamiliarContinuous,0.404287411790789,1.105
FamiliarIntermittent-FamiliarContinuous,0.323773646543771,1.16
FamiliarIntermittent-FamiliarContinuous,0.256075824752875,1.215
FamiliarIntermittent-FamiliarContinuous,0.200909691893145,1.27
FamiliarIntermittent-FamiliarContinuous,0.165023251049381,1.325
FamiliarIntermittent-FamiliarContinuous,0.143526842792933,1.38
FamiliarIntermittent-FamiliarContinuous,0.117390862006793,1.435
FamiliarIntermittent-FamiliarContinuous,0.0648803197415307,1.49
FamiliarIntermittent-FamiliarContinuous,-0.00708054341637109,1.545
FamiliarIntermittent-FamiliarContinuous,-0.0796419121085954,1.6
FamiliarIntermittent-FamiliarContinuous,-0.14189742903302,1.655
FamiliarIntermittent-FamiliarContinuous,-0.184323838907261,1.71
FamiliarIntermittent-FamiliarContinuous,-0.203509458949767,1.765
FamiliarIntermittent-FamiliarContinuous,-0.197753821163244,1.82
FamiliarIntermittent-FamiliarContinuous,-0.17376471464043,1.875
FamiliarIntermittent-FamiliarContinuous,-0.149778030496574,1.93
FamiliarIntermittent-FamiliarContinuous,-0.18398615410802,1.985
FamiliarIntermittent-FamiliarContinuous,-0.24463579375339,2.04
FamiliarIntermittent-FamiliarContinuous,-0.294069745261727,2.095
FamiliarIntermittent-FamiliarContinuous,-0.337359497339326,2.15
FamiliarIntermittent-FamiliarContinuous,-0.372375545468284,2.205
FamiliarIntermittent-FamiliarContinuous,-0.399089254597245,2.26
FamiliarIntermittent-FamiliarContinuous,-0.420631638148316,2.315
FamiliarIntermittent-FamiliarContinuous,-0.443738263956839,2.37
FamiliarIntermittent-FamiliarContinuous,-0.469007775053539,2.425
FamiliarIntermittent-FamiliarContinuous,-0.49863153528648,2.48
FamiliarIntermittent-FamiliarContinuous,-0.529642829570769,2.535
FamiliarIntermittent-FamiliarContinuous,-0.553141192782434,2.59
FamiliarIntermittent-FamiliarContinuous,-0.56272395433589,2.645
FamiliarIntermittent-FamiliarContinuous,-0.558183031989882,2.7
FamiliarIntermittent-FamiliarContinuous,-0.536752616808878,2.755
FamiliarIntermittent-FamiliarContinuous,-0.502784771395895,2.81
FamiliarIntermittent-FamiliarContinuous,-0.469928733914169,2.865
FamiliarIntermittent-FamiliarContinuous,-0.434591913782461,2.92
FamiliarIntermittent-FamiliarContinuous,-0.401850363399535,2.975
FamiliarIntermittent-FamiliarContinuous,-0.383989316407802,3.03
FamiliarIntermittent-FamiliarContinuous,-0.373391313740955,3.085
FamiliarIntermittent-FamiliarContinuous,-0.36180370625484,3.14
FamiliarIntermittent-FamiliarContinuous,-0.352787317105021,3.195
FamiliarIntermittent-FamiliarContinuous,-0.340801547996946,3.25
FamiliarIntermittent-FamiliarContinuous,-0.328173503344512,3.305
FamiliarIntermittent-FamiliarContinuous,-0.313430770892482,3.36
FamiliarIntermittent-FamiliarContinuous,-0.285553037215583,3.415
FamiliarIntermittent-FamiliarContinuous,-0.251700483301283,3.47
FamiliarIntermittent-FamiliarContinuous,-0.212576404926653,3.525
FamiliarIntermittent-FamiliarContinuous,-0.176970125009264,3.58
FamiliarIntermittent-FamiliarContinuous,-0.124624168852642,3.635
FamiliarIntermittent-FamiliarContinuous,-0.0386960250481292,3.69
FamiliarIntermittent-FamiliarContinuous,0.0380920297743499,3.745
FamiliarIntermittent-FamiliarContinuous,0.0785763931064139,3.8
FamiliarIntermittent-FamiliarContinuous,0.107878056001544,3.855
FamiliarIntermittent-FamiliarContinuous,0.126218214470687,3.91
FamiliarIntermittent-FamiliarContinuous,0.137024793297409,3.965
FamiliarIntermittent-FamiliarContinuous,0.147959334501819,4.02
FamiliarIntermittent-FamiliarContinuous,0.158796622950567,4.075
FamiliarIntermittent-FamiliarContinuous,0.165522160355178,4.13
FamiliarIntermittent-FamiliarContinuous,0.172523709822946,4.185
FamiliarIntermittent-FamiliarContinuous,0.174535604764731,4.24
FamiliarIntermittent-FamiliarContinuous,0.160909692715006,4.295
FamiliarIntermittent-FamiliarContinuous,0.141457705631691,4.35
FamiliarIntermittent-FamiliarContinuous,0.11697473710043,4.405
FamiliarIntermittent-FamiliarContinuous,0.0905087085023813,4.46
FamiliarIntermittent-FamiliarContinuous,0.0675773246366041,4.515
FamiliarIntermittent-FamiliarContinuous,0.0463844799544561,4.57
FamiliarIntermittent-FamiliarContinuous,0.0148075682359649,4.625
FamiliarIntermittent-FamiliarContinuous,-0.0386653324127915,4.68
FamiliarIntermittent-FamiliarContinuous,-0.100844660040922,4.735
FamiliarIntermittent-FamiliarContinuous,-0.166030431190059,4.79
