Comparison,t,z
IntermittentFamiliar-IntermittentUnfamiliar,0.569942651630726,0.5
IntermittentFamiliar-IntermittentUnfamiliar,0.481781512680403,0.555
IntermittentFamiliar-IntermittentUnfamiliar,0.329834290403076,0.61
IntermittentFamiliar-IntermittentUnfamiliar,0.145912912357185,0.665
IntermittentFamiliar-IntermittentUnfamiliar,-0.0244057188463415,0.72
IntermittentFamiliar-IntermittentUnfamiliar,-0.183292157954746,0.775
IntermittentFamiliar-IntermittentUnfamiliar,-0.320748464382319,0.83
IntermittentFamiliar-IntermittentUnfamiliar,-0.427880166458798,0.885
IntermittentFamiliar-IntermittentUnfamiliar,-0.508331320891762,0.94
IntermittentFamiliar-IntermittentUnfamiliar,-0.569163696070009,0.995
IntermittentFamiliar-IntermittentUnfamiliar,-0.610783301001664,1.05
IntermittentFamiliar-IntermittentUnfamiliar,-0.632594336648993,1.105
IntermittentFamiliar-IntermittentUnfamiliar,-0.638461199930541,1.16
IntermittentFamiliar-IntermittentUnfamiliar,-0.639058878989064,1.215
IntermittentFamiliar-IntermittentUnfamiliar,-0.641808419860096,1.27
IntermittentFamiliar-IntermittentUnfamiliar,-0.648637595036579,1.325
IntermittentFamiliar-IntermittentUnfamiliar,-0.65612893637213,1.38
IntermittentFamiliar-IntermittentUnfamiliar,-0.663745707378575,1.435
IntermittentFamiliar-IntermittentUnfamiliar,-0.692940257628087,1.49
IntermittentFamiliar-IntermittentUnfamiliar,-0.738679313063952,1.545
IntermittentFamiliar-IntermittentUnfamiliar,-0.79243934706397,1.6
IntermittentFamiliar-IntermittentUnfamiliar,-0.856372100355246,1.655
IntermittentFamiliar-IntermittentUnfamiliar,-0.923163739328642,1.71
IntermittentFamiliar-IntermittentUnfamiliar,-0.98279188590037,1.765
IntermittentFamiliar-IntermittentUnfamiliar,-1.02840365671141,1.82
IntermittentFamiliar-IntermittentUnfamiliar,-1.06210651314102,1.875
IntermittentFamiliar-IntermittentUnfamiliar,-1.08821283946764,1.93
IntermittentFamiliar-IntermittentUnfamiliar,-1.15571736614831,1.985
IntermittentFamiliar-IntermittentUnfamiliar,-1.23125807675318,2.04
IntermittentFamiliar-IntermittentUnfamiliar,-1.2855477013064,2.095
IntermittentFamiliar-IntermittentUnfamiliar,-1.33260419211019,2.15
IntermittentFamiliar-IntermittentUnfamiliar,-1.37673792729973,2.205
IntermittentFamiliar-IntermittentUnfamiliar,-1.41416612348533,2.26
IntermittentFamiliar-IntermittentUnfamiliar,-1.44049288219741,2.315
IntermittentFamiliar-IntermittentUnfamiliar,-1.45990111385741,2.37
IntermittentFamiliar-IntermittentUnfamiliar,-1.47225680873071,2.425
