Comparison,t,z
UnfamiliarIntermittent-UnfamiliarContinuous,0.307324288180023,0.5
UnfamiliarIntermittent-UnfamiliarContinuous,0.290399663513096,0.555
UnfamiliarIntermittent-UnfamiliarContinuous,0.317418971823125,0.61
UnfamiliarIntermittent-UnfamiliarContinuous,0.355965023451801,0.665
UnfamiliarIntermittent-UnfamiliarContinuous,0.400384831506851,0.72
UnfamiliarIntermittent-UnfamiliarContinuous,0.452334768859115,0.775
UnfamiliarIntermittent-UnfamiliarContinuous,0.502907414732889,0.83
UnfamiliarIntermittent-UnfamiliarContinuous,0.548713102213794,0.885
UnfamiliarIntermittent-UnfamiliarContinuous,0.584861824666205,0.94
UnfamiliarIntermittent-UnfamiliarContinuous,0.61453925921698,0.995
UnfamiliarIntermittent-UnfamiliarContinuous,0.63218913163551,1.05
UnfamiliarIntermittent-UnfamiliarContinuous,0.636922146439645,1.105
UnfamiliarIntermittent-UnfamiliarContinuous,0.646453854013785,1.16
UnfamiliarIntermittent-UnfamiliarContinuous,0.663263779248902,1.215
UnfamiliarIntermittent-UnfamiliarContinuous,0.684986555359027,1.27
UnfamiliarIntermittent-UnfamiliarContinuous,0.717165280517495,1.325
UnfamiliarIntermittent-UnfamiliarContinuous,0.761154917757378,1.38
UnfamiliarIntermittent-UnfamiliarContinuous,0.816205826624357,1.435
UnfamiliarIntermittent-UnfamiliarContinuous,0.879009133521204,1.49
UnfamiliarIntermittent-UnfamiliarContinuous,0.942657784180855,1.545
UnfamiliarIntermittent-UnfamiliarContinuous,1.00966672985426,1.6
UnfamiliarIntermittent-UnfamiliarContinuous,1.08800658292489,1.655
UnfamiliarIntermittent-UnfamiliarContinuous,1.181886899058,1.71
UnfamiliarIntermittent-UnfamiliarContinuous,1.29325324318081,1.765
UnfamiliarIntermittent-UnfamiliarContinuous,1.41576568157669,1.82
UnfamiliarIntermittent-UnfamiliarContinuous,1.53512939323535,1.875
UnfamiliarIntermittent-UnfamiliarContinuous,1.63908320948129,1.93
UnfamiliarIntermittent-UnfamiliarContinuous,1.72569123551267,1.985
UnfamiliarIntermittent-UnfamiliarContinuous,1.79027483444415,2.04
UnfamiliarIntermittent-UnfamiliarContinuous,1.83657065734476,2.095
UnfamiliarIntermittent-UnfamiliarContinuous,1.8884213329822,2.15
UnfamiliarIntermittent-UnfamiliarContinuous,1.94706873079814,2.205
UnfamiliarIntermittent-UnfamiliarContinuous,1.99794049261809,2.26
UnfamiliarIntermittent-UnfamiliarContinuous,2.04582390660851,2.315
UnfamiliarIntermittent-UnfamiliarContinuous,2.09430891652309,2.37
UnfamiliarIntermittent-UnfamiliarContinuous,2.14150605618332,2.425
UnfamiliarIntermittent-UnfamiliarContinuous,2.18534175760251,2.48
UnfamiliarIntermittent-UnfamiliarContinuous,2.22240328653867,2.535
UnfamiliarIntermittent-UnfamiliarContinuous,2.2456033734812,2.59
UnfamiliarIntermittent-UnfamiliarContinuous,2.26944909688634,2.645
UnfamiliarIntermittent-UnfamiliarContinuous,2.32326945883639,2.7
UnfamiliarIntermittent-UnfamiliarContinuous,2.40334803786663,2.755
UnfamiliarIntermittent-UnfamiliarContinuous,2.4979278975462,2.81
UnfamiliarIntermittent-UnfamiliarContinuous,2.60731882912614,2.865
UnfamiliarIntermittent-UnfamiliarContinuous,2.72714166919039,2.92
UnfamiliarIntermittent-UnfamiliarContinuous,2.84901510712423,2.975
UnfamiliarIntermittent-UnfamiliarContinuous,2.9682484112461,3.03
UnfamiliarIntermittent-UnfamiliarContinuous,3.07220064927804,3.085
UnfamiliarIntermittent-UnfamiliarContinuous,3.1616313496767,3.14
UnfamiliarIntermittent-UnfamiliarContinuous,3.25136769599507,3.195
UnfamiliarIntermittent-UnfamiliarContinuous,3.33151027468311,3.25
UnfamiliarIntermittent-UnfamiliarContinuous,3.39950312870379,3.305
UnfamiliarIntermittent-UnfamiliarContinuous,3.45449734560272,3.36
UnfamiliarIntermittent-UnfamiliarContinuous,3.49666088110668,3.415
UnfamiliarIntermittent-UnfamiliarContinuous,3.53156605858485,3.47
UnfamiliarIntermittent-UnfamiliarContinuous,3.55406879545526,3.525
UnfamiliarIntermittent-UnfamiliarContinuous,3.56266179662539,3.58
UnfamiliarIntermittent-UnfamiliarContinuous,3.55766730221326,3.635
UnfamiliarIntermittent-UnfamiliarContinuous,3.53969078241163,3.69
UnfamiliarIntermittent-UnfamiliarContinuous,3.51478900462679,3.745
UnfamiliarIntermittent-UnfamiliarContinuous,3.47170641266743,3.8
UnfamiliarIntermittent-UnfamiliarContinuous,3.41449223082629,3.855
UnfamiliarIntermittent-UnfamiliarContinuous,3.34878769632853,3.91
UnfamiliarIntermittent-UnfamiliarContinuous,3.27997926626872,3.965
UnfamiliarIntermittent-UnfamiliarContinuous,3.20694220454903,4.02
UnfamiliarIntermittent-UnfamiliarContinuous,3.12007164428385,4.075
UnfamiliarIntermittent-UnfamiliarContinuous,3.01709138282039,4.13
UnfamiliarIntermittent-UnfamiliarContinuous,2.90025882340326,4.185
UnfamiliarIntermittent-UnfamiliarContinuous,2.76951882483751,4.24
UnfamiliarIntermittent-UnfamiliarContinuous,2.64430051615214,4.295
UnfamiliarIntermittent-UnfamiliarContinuous,2.56128475297456,4.35
UnfamiliarIntermittent-UnfamiliarContinuous,2.50987640846306,4.405
UnfamiliarIntermittent-UnfamiliarContinuous,2.45447246908671,4.46
UnfamiliarIntermittent-UnfamiliarContinuous,2.38158404462285,4.515
UnfamiliarIntermittent-UnfamiliarContinuous,2.2969355675787,4.57
UnfamiliarIntermittent-UnfamiliarContinuous,2.21013324846737,4.625
UnfamiliarIntermittent-UnfamiliarContinuous,2.12292571016149,4.68
UnfamiliarIntermittent-UnfamiliarContinuous,2.04123498446837,4.735
UnfamiliarIntermittent-UnfamiliarContinuous,1.96876199199892,4.79
UnfamiliarIntermittent-UnfamiliarContinuous,1.9099361122207,4.845
UnfamiliarIntermittent-UnfamiliarContinuous,1.86785036447092,4.9
UnfamiliarIntermittent-UnfamiliarContinuous,1.83082106468794,4.955
UnfamiliarIntermittent-UnfamiliarContinuous,1.78362289187547,5.01
UnfamiliarIntermittent-UnfamiliarContinuous,1.71785278880825,5.065
UnfamiliarIntermittent-UnfamiliarContinuous,1.6271835197411,5.12
UnfamiliarIntermittent-UnfamiliarContinuous,1.53157956330447,5.175
UnfamiliarIntermittent-UnfamiliarContinuous,1.44304672404737,5.23
UnfamiliarIntermittent-UnfamiliarContinuous,1.36709497421779,5.285
UnfamiliarIntermittent-UnfamiliarContinuous,1.30772351253573,5.34
UnfamiliarIntermittent-UnfamiliarContinuous,1.26322524918999,5.395
UnfamiliarIntermittent-UnfamiliarContinuous,1.22724357572589,5.45
UnfamiliarIntermittent-UnfamiliarContinuous,1.18422757196913,5.505
UnfamiliarIntermittent-UnfamiliarContinuous,1.13195732665516,5.56
UnfamiliarIntermittent-UnfamiliarContinuous,1.08819250665911,5.615
UnfamiliarIntermittent-UnfamiliarContinuous,1.05639000095758,5.67
UnfamiliarIntermittent-UnfamiliarContinuous,1.02786176944863,5.725
UnfamiliarIntermittent-UnfamiliarContinuous,0.97927629596296,5.78
UnfamiliarIntermittent-UnfamiliarContinuous,0.899291570293301,5.835
UnfamiliarIntermittent-UnfamiliarContinuous,0.791940989289633,5.89
UnfamiliarIntermittent-UnfamiliarContinuous,0.664677293075971,5.945
