At t-value = 1.8485, p value = 0.02204
At t-value = 1.8288, p value = 0.02204
At t-value = 1.7938, p value = 0.023
At t-value = 1.7938, the 1th p value = 0.04408
At t-value = 1.7938, the 2th p value = 0.023
At t-value = 1.7738, the 1th p value = 0.04408
At t-value = 1.7738, the 2th p value = 0.02528
At t-value = 1.7623, the 1th p value = 0.04576
At t-value = 1.7623, the 2th p value = 0.02528
At t-value = 1.7351, the 1th p value = 0.04688
At t-value = 1.7351, the 2th p value = 0.02528
At t-value = 1.7336, the 1th p value = 0.04688
At t-value = 1.7336, the 2th p value = 0.02528
At t-value = 1.7319, the 1th p value = 0.04688
At t-value = 1.7319, the 2th p value = 0.02528
At t-value = 1.7315, the 1th p value = 0.04824
At t-value = 1.7315, the 2th p value = 0.02528
At t-value = 1.7312, the 1th p value = 0.04824
At t-value = 1.7312, the 2th p value = 0.02528
At t-value = 1.7305, the 1th p value = 0.04912
At t-value = 1.7305, the 2th p value = 0.02528
At t-value = 1.728, the 1th p value = 0.05008
At t-value = 1.728, the 2th p value = 0.02528
At t-value = 1.7167, the 1th p value = 0.04992
At t-value = 1.7167, the 2th p value = 0.02528
At t-value = 1.6916, the 1th p value = 0.05036
At t-value = 1.6916, the 2th p value = 0.02528
At t-value = 1.6843, the 1th p value = 0.05052
At t-value = 1.6843, the 2th p value = 0.02528
At t-value = 1.6614, the 1th p value = 0.05052
At t-value = 1.6614, the 2th p value = 0.02788
At t-value = 1.6429, the 1th p value = 0.05116
At t-value = 1.6429, the 2th p value = 0.02788
At t-value = 1.6322, the 1th p value = 0.05116
At t-value = 1.6322, the 2th p value = 0.02944
At t-value = 1.6143, the 1th p value = 0.05136
At t-value = 1.6143, the 2th p value = 0.02944
At t-value = 1.5995, the 1th p value = 0.0516
At t-value = 1.5995, the 2th p value = 0.02944
At t-value = 1.5987, the 1th p value = 0.0516
At t-value = 1.5987, the 2th p value = 0.02944
At t-value = 1.5966, the 1th p value = 0.0522
At t-value = 1.5966, the 2th p value = 0.02944
At t-value = 1.5938, the 1th p value = 0.0532
At t-value = 1.5938, the 2th p value = 0.02944
At t-value = 1.5802, the 1th p value = 0.05396
At t-value = 1.5802, the 2th p value = 0.02944
At t-value = 1.5728, the 1th p value = 0.05372
At t-value = 1.5728, the 2th p value = 0.02944
At t-value = 1.5615, the 1th p value = 0.05372
At t-value = 1.5615, the 2th p value = 0.03228
At t-value = 1.5549, the 1th p value = 0.05496
At t-value = 1.5549, the 2th p value = 0.03228
