"","SubjectNo","Familiarity","TargetPosition","seg.z","headingErr"
"1","S02","Unfamiliar","Unknown",0.5,9.6445362011199
"2","S02","Unfamiliar","Unknown",0.555,9.54305910067743
"3","S02","Unfamiliar","Unknown",0.61,9.38211941150664
"4","S02","Unfamiliar","Unknown",0.665,9.20374198099149
"5","S02","Unfamiliar","Unknown",0.72,9.04531246559978
"6","S02","Unfamiliar","Unknown",0.775,8.92590652142433
"7","S02","Unfamiliar","Unknown",0.83,8.85271256341379
"8","S02","Unfamiliar","Unknown",0.885,8.80834250903605
"9","S02","Unfamiliar","Unknown",0.94,8.75886620424912
"10","S02","Unfamiliar","Unknown",0.995,8.69271180670734
"11","S02","Unfamiliar","Unknown",1.05,8.605924297954
"12","S02","Unfamiliar","Unknown",1.105,8.50939554127661
"13","S02","Unfamiliar","Unknown",1.16,8.40740255479557
"14","S02","Unfamiliar","Unknown",1.215,8.31450836604585
"15","S02","Unfamiliar","Unknown",1.27,8.23481022814967
"16","S02","Unfamiliar","Unknown",1.325,8.16411347072362
"17","S02","Unfamiliar","Unknown",1.38,8.10645449746664
"18","S02","Unfamiliar","Unknown",1.435,8.06215612197078
"19","S02","Unfamiliar","Unknown",1.49,8.0341342003505
"20","S02","Unfamiliar","Unknown",1.545,8.02618706235019
"21","S02","Unfamiliar","Unknown",1.6,8.04021305629639
"22","S02","Unfamiliar","Unknown",1.655,8.07015053097186
"23","S02","Unfamiliar","Unknown",1.71,8.11798505378425
"24","S02","Unfamiliar","Unknown",1.765,8.16308835754228
"25","S02","Unfamiliar","Unknown",1.82,8.18359342893752
"26","S02","Unfamiliar","Unknown",1.875,8.1738822389602
"27","S02","Unfamiliar","Unknown",1.93,8.14035425030922
"28","S02","Unfamiliar","Unknown",1.985,8.09391393343026
"29","S02","Unfamiliar","Unknown",2.04,8.04246473941766
"30","S02","Unfamiliar","Unknown",2.095,7.99024968719805
"31","S02","Unfamiliar","Unknown",2.15,7.9422552559363
"32","S02","Unfamiliar","Unknown",2.205,7.90630772729522
"33","S02","Unfamiliar","Unknown",2.26,7.89144166363339
"34","S02","Unfamiliar","Unknown",2.315,7.90735095863002
"35","S02","Unfamiliar","Unknown",2.37,7.95409705409646
"36","S02","Unfamiliar","Unknown",2.425,8.02157713786091
"37","S02","Unfamiliar","Unknown",2.48,8.11283814664996
"38","S02","Unfamiliar","Unknown",2.535,8.21049850147656
"39","S02","Unfamiliar","Unknown",2.59,8.29835237195546
"40","S02","Unfamiliar","Unknown",2.645,8.37928115290758
"41","S02","Unfamiliar","Unknown",2.7,8.44047048476827
"42","S02","Unfamiliar","Unknown",2.755,8.48072619314696
"43","S02","Unfamiliar","Unknown",2.81,8.5063797916425
"44","S02","Unfamiliar","Unknown",2.865,8.51881103741923
"45","S02","Unfamiliar","Unknown",2.92,8.53362630093706
"46","S02","Unfamiliar","Unknown",2.975,8.55658383719805
"47","S02","Unfamiliar","Unknown",3.03,8.59146819195704
"48","S02","Unfamiliar","Unknown",3.085,8.64532127123404
"49","S02","Unfamiliar","Unknown",3.14,8.71322837410255
"50","S02","Unfamiliar","Unknown",3.195,8.79031517517827
"51","S02","Unfamiliar","Unknown",3.25,8.87220908263382
"52","S02","Unfamiliar","Unknown",3.305,8.94897012862648
"53","S02","Unfamiliar","Unknown",3.36,9.00255295298729
"54","S02","Unfamiliar","Unknown",3.415,9.02772837657498
"55","S02","Unfamiliar","Unknown",3.47,9.04649120808865
"56","S02","Unfamiliar","Unknown",3.525,9.06597177660977
"57","S02","Unfamiliar","Unknown",3.58,9.08421762195398
"58","S02","Unfamiliar","Unknown",3.635,9.10244685925413
"59","S02","Unfamiliar","Unknown",3.69,9.11598059601027
"60","S02","Unfamiliar","Unknown",3.745,9.1267225842399
"61","S02","Unfamiliar","Unknown",3.8,9.12463867898996
"62","S02","Unfamiliar","Unknown",3.855,9.1103248798393
"63","S02","Unfamiliar","Unknown",3.91,9.08498626042292
"64","S02","Unfamiliar","Unknown",3.965,9.04076377727263
"65","S02","Unfamiliar","Unknown",4.02,8.97419126208823
"66","S02","Unfamiliar","Unknown",4.075,8.88944911257171
"67","S02","Unfamiliar","Unknown",4.13,8.78780289479577
"68","S02","Unfamiliar","Unknown",4.185,8.66041705287994
"69","S02","Unfamiliar","Unknown",4.24,8.49220810878126
"70","S02","Unfamiliar","Unknown",4.295,8.28706731082237
"71","S02","Unfamiliar","Unknown",4.35,8.05287100350738
"72","S02","Unfamiliar","Unknown",4.405,7.7706398625831
"73","S02","Unfamiliar","Unknown",4.46,7.44115770434381
"74","S02","Unfamiliar","Unknown",4.515,7.10593724365828
"75","S02","Unfamiliar","Unknown",4.57,6.74350147433208
"76","S02","Unfamiliar","Unknown",4.625,6.31539500618131
"77","S02","Unfamiliar","Unknown",4.68,5.88932189813536
"78","S02","Unfamiliar","Unknown",4.735,5.48702052138692
"79","S02","Unfamiliar","Unknown",4.79,5.08436513221501
"80","S02","Unfamiliar","Unknown",4.845,4.69770626375002
"81","S02","Unfamiliar","Unknown",4.9,4.3407933546499
"82","S02","Unfamiliar","Unknown",4.955,4.04972564119745
"83","S02","Unfamiliar","Unknown",5.01,3.82888373670762
"84","S02","Unfamiliar","Unknown",5.065,3.66675449020287
