Comparison,t,z
FamiliarUnknown-FamiliarKnown,1.05545864593937,0.5
FamiliarUnknown-FamiliarKnown,1.00501533230595,0.555
FamiliarUnknown-FamiliarKnown,0.966259908506479,0.61
FamiliarUnknown-FamiliarKnown,0.966520036309258,0.665
FamiliarUnknown-FamiliarKnown,1.0124488585283,0.72
FamiliarUnknown-FamiliarKnown,1.06499486832339,0.775
FamiliarUnknown-FamiliarKnown,1.07706909586082,0.83
FamiliarUnknown-FamiliarKnown,1.03904214440055,0.885
FamiliarUnknown-FamiliarKnown,0.972758125138615,0.94
FamiliarUnknown-FamiliarKnown,0.90672919199172,0.995
FamiliarUnknown-FamiliarKnown,0.866265798546818,1.05
FamiliarUnknown-FamiliarKnown,0.869582094392831,1.105
FamiliarUnknown-FamiliarKnown,0.906418381313199,1.16
FamiliarUnknown-FamiliarKnown,0.962606556877623,1.215
FamiliarUnknown-FamiliarKnown,1.03272111603873,1.27
FamiliarUnknown-FamiliarKnown,1.10328256890793,1.325
FamiliarUnknown-FamiliarKnown,1.16931511271889,1.38
FamiliarUnknown-FamiliarKnown,1.23477469517499,1.435
FamiliarUnknown-FamiliarKnown,1.29227018243023,1.49
FamiliarUnknown-FamiliarKnown,1.34782406417552,1.545
FamiliarUnknown-FamiliarKnown,1.40553612796244,1.6
FamiliarUnknown-FamiliarKnown,1.46359720121555,1.655
FamiliarUnknown-FamiliarKnown,1.51657033758817,1.71
FamiliarUnknown-FamiliarKnown,1.55487895143506,1.765
FamiliarUnknown-FamiliarKnown,1.58019402283927,1.82
FamiliarUnknown-FamiliarKnown,1.59380125490023,1.875
FamiliarUnknown-FamiliarKnown,1.5987499368229,1.93
FamiliarUnknown-FamiliarKnown,1.59660646807168,1.985
FamiliarUnknown-FamiliarKnown,1.59946686350233,2.04
FamiliarUnknown-FamiliarKnown,1.61427267122885,2.095
FamiliarUnknown-FamiliarKnown,1.64293296135293,2.15
FamiliarUnknown-FamiliarKnown,1.68426658169055,2.205
FamiliarUnknown-FamiliarKnown,1.71666811469307,2.26
FamiliarUnknown-FamiliarKnown,1.73119445428307,2.315
FamiliarUnknown-FamiliarKnown,1.73364491066989,2.37
FamiliarUnknown-FamiliarKnown,1.73188040562017,2.425
FamiliarUnknown-FamiliarKnown,1.72799099322688,2.48
FamiliarUnknown-FamiliarKnown,1.73046852938443,2.535
FamiliarUnknown-FamiliarKnown,1.73152065990889,2.59
FamiliarUnknown-FamiliarKnown,1.73510645371887,2.645
FamiliarUnknown-FamiliarKnown,1.7623100232195,2.7
FamiliarUnknown-FamiliarKnown,1.82880394465412,2.755
FamiliarUnknown-FamiliarKnown,1.90426650491523,2.81
FamiliarUnknown-FamiliarKnown,1.96470894955166,2.865
FamiliarUnknown-FamiliarKnown,2.0052849771798,2.92
FamiliarUnknown-FamiliarKnown,2.03510758439699,2.975
FamiliarUnknown-FamiliarKnown,2.04966178392998,3.03
FamiliarUnknown-FamiliarKnown,2.02575460929228,3.085
FamiliarUnknown-FamiliarKnown,1.96536760519375,3.14
FamiliarUnknown-FamiliarKnown,1.89490223146742,3.195
FamiliarUnknown-FamiliarKnown,1.84850921705344,3.25
FamiliarUnknown-FamiliarKnown,1.79381997609837,3.305
FamiliarUnknown-FamiliarKnown,1.69161827535154,3.36
FamiliarUnknown-FamiliarKnown,1.57275979608987,3.415
FamiliarUnknown-FamiliarKnown,1.46088976119949,3.47
FamiliarUnknown-FamiliarKnown,1.36244411226739,3.525
FamiliarUnknown-FamiliarKnown,1.28004173622254,3.58
FamiliarUnknown-FamiliarKnown,1.20766609791782,3.635
FamiliarUnknown-FamiliarKnown,1.14116823871181,3.69
FamiliarUnknown-FamiliarKnown,1.09564125329539,3.745
FamiliarUnknown-FamiliarKnown,1.08715776429636,3.8
FamiliarUnknown-FamiliarKnown,1.11092191526473,3.855
FamiliarUnknown-FamiliarKnown,1.15532582328719,3.91
FamiliarUnknown-FamiliarKnown,1.20790692131308,3.965
FamiliarUnknown-FamiliarKnown,1.25479274315817,4.02
FamiliarUnknown-FamiliarKnown,1.28788171640068,4.075
FamiliarUnknown-FamiliarKnown,1.32673001061904,4.13
FamiliarUnknown-FamiliarKnown,1.39085240476688,4.185
FamiliarUnknown-FamiliarKnown,1.47195307348249,4.24
FamiliarUnknown-FamiliarKnown,1.56152520610957,4.295
FamiliarUnknown-FamiliarKnown,1.66141083713327,4.35
FamiliarUnknown-FamiliarKnown,1.77383254586642,4.405
FamiliarUnknown-FamiliarKnown,1.88992275089736,4.46
FamiliarUnknown-FamiliarKnown,2.00671367928804,4.515
FamiliarUnknown-FamiliarKnown,2.12810934944535,4.57
FamiliarUnknown-FamiliarKnown,2.24267675787786,4.625
FamiliarUnknown-FamiliarKnown,2.3237650865453,4.68
FamiliarUnknown-FamiliarKnown,2.36812175764664,4.735
FamiliarUnknown-FamiliarKnown,2.38842458107753,4.79
FamiliarUnknown-FamiliarKnown,2.37758928024957,4.845
FamiliarUnknown-FamiliarKnown,2.3300425930365,4.9
FamiliarUnknown-FamiliarKnown,2.2393540136673,4.955
FamiliarUnknown-FamiliarKnown,2.10163536047396,5.01
FamiliarUnknown-FamiliarKnown,1.95203988214765,5.065
FamiliarUnknown-FamiliarKnown,1.79384864664938,5.12
FamiliarUnknown-FamiliarKnown,1.632245086476,5.175
FamiliarUnknown-FamiliarKnown,1.49284857023114,5.23
FamiliarUnknown-FamiliarKnown,1.33846954108519,5.285
FamiliarUnknown-FamiliarKnown,1.20087040002951,5.34
FamiliarUnknown-FamiliarKnown,1.01414534488072,5.395
FamiliarUnknown-FamiliarKnown,0.753383918130112,5.45
FamiliarUnknown-FamiliarKnown,0.539118517479883,5.505
FamiliarUnknown-FamiliarKnown,0.381822522437215,5.56
FamiliarUnknown-FamiliarKnown,0.274028621419134,5.615
FamiliarUnknown-FamiliarKnown,0.221804646523147,5.67
FamiliarUnknown-FamiliarKnown,0.190079230916745,5.725
FamiliarUnknown-FamiliarKnown,0.176249925964974,5.78
FamiliarUnknown-FamiliarKnown,0.197547477401369,5.835
FamiliarUnknown-FamiliarKnown,0.222587298649545,5.89
FamiliarUnknown-FamiliarKnown,0.531835105807762,5.945
