Comparison,t,z
UnfamiliarUnknown-FamiliarUnknown,0.510556073870886,0.5
UnfamiliarUnknown-FamiliarUnknown,0.571503797802736,0.555
UnfamiliarUnknown-FamiliarUnknown,0.642475345596366,0.61
UnfamiliarUnknown-FamiliarUnknown,0.716626298605453,0.665
UnfamiliarUnknown-FamiliarUnknown,0.79432081388376,0.72
UnfamiliarUnknown-FamiliarUnknown,0.863062490358488,0.775
UnfamiliarUnknown-FamiliarUnknown,0.916845351645444,0.83
UnfamiliarUnknown-FamiliarUnknown,0.974613450016762,0.885
UnfamiliarUnknown-FamiliarUnknown,1.02628341872917,0.94
UnfamiliarUnknown-FamiliarUnknown,1.06536122642227,0.995
UnfamiliarUnknown-FamiliarUnknown,1.0769280918847,1.05
UnfamiliarUnknown-FamiliarUnknown,1.05424628198463,1.105
UnfamiliarUnknown-FamiliarUnknown,1.01427636087949,1.16
UnfamiliarUnknown-FamiliarUnknown,0.976770431078533,1.215
UnfamiliarUnknown-FamiliarUnknown,0.945518811332963,1.27
UnfamiliarUnknown-FamiliarUnknown,0.921445814169478,1.325
UnfamiliarUnknown-FamiliarUnknown,0.913517668425411,1.38
UnfamiliarUnknown-FamiliarUnknown,0.923866540677741,1.435
UnfamiliarUnknown-FamiliarUnknown,0.937250579574078,1.49
UnfamiliarUnknown-FamiliarUnknown,0.920943646621211,1.545
UnfamiliarUnknown-FamiliarUnknown,0.857579877645945,1.6
UnfamiliarUnknown-FamiliarUnknown,0.782155051339607,1.655
UnfamiliarUnknown-FamiliarUnknown,0.732309328882716,1.71
UnfamiliarUnknown-FamiliarUnknown,0.712613055051245,1.765
UnfamiliarUnknown-FamiliarUnknown,0.707932090399017,1.82
UnfamiliarUnknown-FamiliarUnknown,0.710765876564689,1.875
UnfamiliarUnknown-FamiliarUnknown,0.704683489597014,1.93
UnfamiliarUnknown-FamiliarUnknown,0.676427997258621,1.985
UnfamiliarUnknown-FamiliarUnknown,0.632627052710265,2.04
UnfamiliarUnknown-FamiliarUnknown,0.581418541715694,2.095
UnfamiliarUnknown-FamiliarUnknown,0.524780258578934,2.15
UnfamiliarUnknown-FamiliarUnknown,0.447616294897206,2.205
UnfamiliarUnknown-FamiliarUnknown,0.342904389550936,2.26
UnfamiliarUnknown-FamiliarUnknown,0.236327653741475,2.315
UnfamiliarUnknown-FamiliarUnknown,0.168761466634775,2.37
UnfamiliarUnknown-FamiliarUnknown,0.164838004529267,2.425
UnfamiliarUnknown-FamiliarUnknown,0.20524125552803,2.48
UnfamiliarUnknown-FamiliarUnknown,0.244669394338439,2.535
UnfamiliarUnknown-FamiliarUnknown,0.261649415381551,2.59
UnfamiliarUnknown-FamiliarUnknown,0.275721824581432,2.645
UnfamiliarUnknown-FamiliarUnknown,0.286263845585724,2.7
UnfamiliarUnknown-FamiliarUnknown,0.271616548766052,2.755
UnfamiliarUnknown-FamiliarUnknown,0.239462486812423,2.81
UnfamiliarUnknown-FamiliarUnknown,0.211104261884001,2.865
UnfamiliarUnknown-FamiliarUnknown,0.19975750294246,2.92
UnfamiliarUnknown-FamiliarUnknown,0.207315794412342,2.975
UnfamiliarUnknown-FamiliarUnknown,0.241840934977868,3.03
UnfamiliarUnknown-FamiliarUnknown,0.315568043608247,3.085
UnfamiliarUnknown-FamiliarUnknown,0.412489062991882,3.14
UnfamiliarUnknown-FamiliarUnknown,0.504715213218038,3.195
UnfamiliarUnknown-FamiliarUnknown,0.578526963498483,3.25
UnfamiliarUnknown-FamiliarUnknown,0.631997876487204,3.305
UnfamiliarUnknown-FamiliarUnknown,0.665253992866576,3.36
UnfamiliarUnknown-FamiliarUnknown,0.673895008686388,3.415
UnfamiliarUnknown-FamiliarUnknown,0.666383915615709,3.47
UnfamiliarUnknown-FamiliarUnknown,0.649680565469411,3.525
UnfamiliarUnknown-FamiliarUnknown,0.636969674746681,3.58
UnfamiliarUnknown-FamiliarUnknown,0.640855190690986,3.635
UnfamiliarUnknown-FamiliarUnknown,0.658973013423407,3.69
UnfamiliarUnknown-FamiliarUnknown,0.678158304899833,3.745
UnfamiliarUnknown-FamiliarUnknown,0.676622304819176,3.8
UnfamiliarUnknown-FamiliarUnknown,0.644198834164172,3.855
UnfamiliarUnknown-FamiliarUnknown,0.587854569823773,3.91
UnfamiliarUnknown-FamiliarUnknown,0.531640334205624,3.965
UnfamiliarUnknown-FamiliarUnknown,0.486752474007096,4.02
UnfamiliarUnknown-FamiliarUnknown,0.458326833263615,4.075
UnfamiliarUnknown-FamiliarUnknown,0.451585503840291,4.13
UnfamiliarUnknown-FamiliarUnknown,0.44852607580943,4.185
UnfamiliarUnknown-FamiliarUnknown,0.437018216016277,4.24
UnfamiliarUnknown-FamiliarUnknown,0.402327118172142,4.295
UnfamiliarUnknown-FamiliarUnknown,0.332097013183065,4.35
UnfamiliarUnknown-FamiliarUnknown,0.252131921181382,4.405
UnfamiliarUnknown-FamiliarUnknown,0.197439124051135,4.46
UnfamiliarUnknown-FamiliarUnknown,0.195406937693779,4.515
UnfamiliarUnknown-FamiliarUnknown,0.0891752484451124,4.57
UnfamiliarUnknown-FamiliarUnknown,0.0142360914786215,4.625
UnfamiliarUnknown-FamiliarUnknown,0.00879425856859244,4.68
UnfamiliarUnknown-FamiliarUnknown,0.0199301417275721,4.735
UnfamiliarUnknown-FamiliarUnknown,0.0445801898747288,4.79
UnfamiliarUnknown-FamiliarUnknown,0.0926186773906305,4.845
UnfamiliarUnknown-FamiliarUnknown,0.155955522229708,4.9
UnfamiliarUnknown-FamiliarUnknown,0.238173926262169,4.955
UnfamiliarUnknown-FamiliarUnknown,0.332404430122435,5.01
UnfamiliarUnknown-FamiliarUnknown,0.430897254407486,5.065
UnfamiliarUnknown-FamiliarUnknown,0.321293694232701,5.12
UnfamiliarUnknown-FamiliarUnknown,0.310696363770908,5.175
UnfamiliarUnknown-FamiliarUnknown,0.357055318170225,5.23
UnfamiliarUnknown-FamiliarUnknown,0.400893694941448,5.285
UnfamiliarUnknown-FamiliarUnknown,0.450246001858124,5.34
UnfamiliarUnknown-FamiliarUnknown,0.518040111988918,5.395
UnfamiliarUnknown-FamiliarUnknown,0.603737653706889,5.45
UnfamiliarUnknown-FamiliarUnknown,0.690410238936299,5.505
UnfamiliarUnknown-FamiliarUnknown,0.762690815497255,5.56
UnfamiliarUnknown-FamiliarUnknown,0.822013851859401,5.615
UnfamiliarUnknown-FamiliarUnknown,0.852231917185594,5.67
UnfamiliarUnknown-FamiliarUnknown,0.839170243848264,5.725
UnfamiliarUnknown-FamiliarUnknown,0.777051075591501,5.78
UnfamiliarUnknown-FamiliarUnknown,0.671964104240906,5.835
UnfamiliarUnknown-FamiliarUnknown,0.543349050458435,5.89
UnfamiliarUnknown-FamiliarUnknown,0.410258764299512,5.945
